Country,Continent,1985,2000,2015
"Afghanistan","Asia",42.8,51,57.63
"Albania","Europe",72.2,74.2,76
"Algeria","Africa",67.7,73.2,76.5
"Andorra","Europe",80,82.7,84.1
"Angola","Africa",50,52.6,61
"Antigua and Barbuda","North America",73.1,73.9,75.2
"Argentina","South America",71.9,74.3,76.2
"Armenia","Europe",70.5,71.4,74.4
"Australia","Oceania",75.7,79.7,81.8
"Austria","Europe",74,78.2,81
"Azerbaijan","Europe",66.2,68,72.9
"Bahamas","North America",67.2,70.3,72.3
"Bahrain","Asia",71.5,73.6,79.2
"Bangladesh","Asia",55.8,65.8,70.1
"Barbados","North America",73.3,74.3,75.8
"Belarus","Europe",71.1,68.2,70.4
"Belgium","Europe",74.6,77.8,80.4
"Belize","North America",71.1,69,70
"Benin","Africa",55,59.2,65.5
"Bhutan","Asia",56,63.9,70.2
"Bolivia","South America",59.8,67.6,72.3
"Bosnia and Herzegovina","Europe",71.5,75.2,77.9
"Botswana","Africa",67.5,51.6,66.4
"Brazil","South America",67.4,71.9,75.6
"Brunei","Asia",72.9,75.5,78.7
"Bulgaria","Europe",71.3,71.7,74.9
"Burkina Faso","Africa",52,53.3,62.8
"Burundi","Africa",49.8,47.5,60.4
"Cambodia","Asia",56.3,60.9,68.4
"Cameroon","Africa",58.2,55,59.5
"Canada","North America",76.5,79.3,81.7
"Cape Verde","Africa",67.2,70.1,74.6
"Central African Republic","Africa",49.1,46.7,53.8
"Chad","Africa",53.4,52.4,57.7
"Chile","South America",71.8,77.2,79.3
"China","Asia",66.4,71.5,76.9
"Colombia","South America",70.3,72.5,75.8
"Comoros","Africa",55.4,60.2,64.1
"Congo, Dem. Rep.","Africa",52.9,52.5,58.3
"Congo, Rep.","Africa",56.6,52.6,61.9
"Costa Rica","North America",76.3,77.7,80
"Cote d'Ivoire","Africa",57.7,52.8,60.33
"Croatia","Europe",71.6,74.7,78
"Cuba","North America",74.3,75.9,78.5
"Cyprus","Europe",76.7,79.1,82.6
"Czech Republic","Europe",71.1,75,78.6
"Denmark","Europe",74.7,76.9,80.1
"Djibouti","Africa",60.6,59.6,64.63
"Dominica","North America",73.1,73.3,74.6
"Dominican Republic","North America",70.5,72.7,73.8
"Ecuador","South America",70,73.2,75.2
