Month,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,125,83,63,65,94,198,177,156,200,158,146,113,109,116,119,109,108,127,189,252,224,265,267,329,512,504,460,419,397,403,411,578,626,517,472,475,462,430
2,114,85,73,95,111,247,206,165,261,193,139,157,133,114,133,116,147,156,195,278,243,262,282,364,508,518,468,441,408,402,424,624,634,522,479,483,470,428
3,108,76,68,72,89,205,154,187,216,163,145,122,126,117,119,118,138,139,207,262,223,271,274,380,513,509,452,428,404,420,417,630,624,499,470,475,463,431
4,98,70,60,57,101,183,146,172,182,137,129,109,109,119,115,118,124,141,204,242,217,263,265,385,495,493,444,417,395,408,412,625,593,477,463,464,449,421
5,106,75,78,67,134,171,156,194,182,156,141,126,123,122,122,114,129,149,218,236,225,273,271,411,499,499,450,424,402,413,416,633,567,476,466,463,443,420
6,104,73,86,90,136,180,167,193,215,143,149,140,140,117,134,123,138,162,241,251,257,282,283,442,509,512,466,437,418,423,428,647,570,486,477,473,451,431
7,121,104,104,103,155,212,192,267,237,167,160,148,166,158,154,152,169,180,276,269,280,302,300,485,523,522,476,449,428,433,442,663,578,496,490,487,464,445
8,123,103,110,123,186,215,228,315,250,172,156,159,181,155,171,172,184,194,297,287,292,313,311,512,536,529,481,454,434,442,452,672,576,502,502,497,473,456
9,121,93,90,114,188,198,228,276,236,170,134,145,169,154,152,142,151,187,284,268,285,298,304,519,531,510,461,430,419,429,464,661,560,481,491,486,458,454
10,97,76,83,118,195,206,209,265,211,166,130,124,147,135,137,142,149,187,285,250,286,297,313,527,530,497,443,424,413,421,476,653,546,484,493,487,457,455
11,71,78,79,107,194,176,170,252,188,153,125,122,154,129,121,124,136,180,269,247,282,287,319,524,522,477,426,411,410,417,507,645,527,482,487,478,451,457
12,76,81,84,91,199,170,168,227,162,151,118,114,129,121,113,111,130,177,245,234,269,279,323,519,505,465,422,403,405,414,549,632,520,471,477,469,439,453
