code,percent
00000,15.5
01000,19.2
01001,13.1
01003,13.0
01005,25.4
01007,18.1
01009,17.5
01011,35.1
01013,25.0
01015,20.5
01017,21.3
01019,18.6
01021,18.1
01023,25.0
01025,24.9
01027,19.5
01029,17.0
01031,16.8
01033,16.7
01035,30.6
01037,18.8
01039,20.8
01041,21.2
01043,17.2
01045,22.4
01047,35.2
01049,24.0
01051,14.4
01053,25.1
01055,19.0
01057,20.6
01059,23.1
01061,23.9
01063,33.2
01065,28.1
01067,17.3
01069,20.1
01071,22.0
01073,19.5
01075,20.6
01077,18.7
01079,16.6
01081,25.2
01083,13.6
01085,31.4
01087,32.1
01089,14.2
01091,25.6
01093,20.2
01095,22.0
01097,19.6
01099,25.3
01101,22.5
01103,15.0
01105,46.9
01107,25.0
01109,26.4
01111,20.4
01113,20.9
01115,14.3
01117,9.6
01119,38.1
01121,22.5
01123,21.3
01125,18.0
01127,23.5
01129,18.5
01131,33.7
01133,20.1
02000,11.4
02013,16.2
02016,9.9
02020,10.0
02050,23.8
02060,9.5
02068,7.1
02070,17.5
02090,9.5
02100,9.8
02105,19.1
02110,7.9
02122,11.5
02130,12.4
02150,8.3
02164,17.7
02170,10.7
02180,26.1
02185,11.5
02188,23.2
02195,8.8
02198,17.4
02220,8.6
02230,3.6
02240,13.8
02261,9.9
02270,35.7
02275,11.9
02282,14.8
02290,25.7
04000,18.2
04001,33.1
04003,18.7
04005,21.3
04007,24.4
04009,20.0
04011,10.3
04012,22.8
04013,17.1
04015,20.8
04017,28.5
04019,18.7
04021,17.6
04023,23.6
04025,15.6
04027,22.6
05000,18.7
05001,20.4
05003,22.7
05005,14.9
05007,11.9
05009,16.9
05011,27.4
05013,18.0
05015,17.9
05017,32.1
05019,21.5
05021,19.9
05023,15.2
05025,16.6
05027,24.1
05029,18.3
05031,22.3
05033,16.6
05035,27.3
05037,22.3
05039,21.0
05041,27.3
05043,24.0
05045,14.7
05047,17.5
05049,22.6
05051,18.7
05053,13.3
05055,16.3
05057,24.4
05059,18.7
05061,18.8
05063,18.6
05065,22.0
05067,25.1
05069,26.8
05071,19.7
05073,27.5
05075,23.0
05077,39.3
05079,29.0
05081,18.2
05083,21.1
05085,12.3
05087,18.0
05089,20.3
05091,20.8
05093,27.1
05095,28.1
05097,20.1
05099,25.1
05101,20.1
05103,23.0
05105,17.3
05107,35.3
05109,20.0
05111,21.9
05113,22.0
05115,18.3
05117,18.7
05119,16.1
05121,18.3
05123,33.4
05125,8.7
05127,23.7
05129,23.3
05131,22.1
05133,20.4
05135,21.6
05137,24.4
05139,23.1
05141,22.0
05143,19.3
05145,19.4
05147,25.1
05149,17.4
06000,16.4
06001,12.5
06003,19.0
06005,12.9
06007,21.9
06009,13.7
06011,14.3
06013,10.5
06015,22.4
06017,11.4
06019,27.5
06021,17.1
06023,21.0
06025,23.6
06027,14.0
06029,24.5
06031,24.9
06033,24.3
06035,19.4
06037,18.7
06039,22.3
06041,8.8
06043,16.2
06045,18.8
06047,24.8
06049,20.2
06051,11.3
06053,17.0
06055,9.0
06057,11.4
06059,12.9
06061,8.3
06063,14.0
06065,17.1
06067,18.1
06069,14.1
06071,20.4
06073,14.7
06075,12.1
06077,20.7
06079,14.5
06081,7.5
06083,17.4
06085,8.5
06087,16.1
06089,14.7
06091,13.8
06093,21.1
06095,12.3
06097,11.3
06099,18.1
06101,15.2
06103,18.2
06105,19.9
06107,28.1
06109,14.3
06111,11.5
06113,19.5
06115,21.6
08000,12.1
08001,12.9
08003,22.5
08005,11.2
08007,14.7
08009,20.0
08011,32.3
08013,13.3
08014,4.0
08015,12.4
08017,13.4
08019,8.5
08021,22.9
08023,28.5
08025,40.5
08027,14.9
08029,15.6
08031,15.9
08033,15.4
08035,3.7
08037,7.8
08039,5.9
08041,12.2
08043,19.1
08045,10.2
08047,7.9
08049,10.4
08051,14.9
08053,10.1
08055,22.0
08057,16.6
08059,8.3
08061,13.5
08063,14.9
08065,16.0
08067,10.7
08069,12.8
08071,17.4
08073,18.3
08075,17.7
08077,15.4
08079,8.9
08081,11.2
08083,16.3
08085,15.5
08087,13.4
08089,26.0
08091,9.6
08093,9.4
08095,11.5
08097,7.0
08099,20.9
08101,19.0
08103,10.9
08105,18.3
08107,8.4
08109,29.9
08111,15.5
08113,9.9
08115,13.9
08117,9.7
08119,9.5
08121,11.4
08123,10.5
08125,14.0
09000,10.8
09001,9.0
09003,12.2
09005,7.7
09007,7.9
09009,13.0
09011,11.1
09013,7.5
09015,10.3
10000,13.0
10001,14.1
10003,12.3
10005,13.9
11000,18.4
11001,18.4
12000,16.6
12001,21.6
12003,19.6
12005,15.6
12007,22.6
12009,14.5
12011,14.5
12013,22.3
12015,11.9
12017,20.1
12019,10.9
12021,14.3
12023,21.7
12027,29.7
12029,27.1
12031,18.2
12033,15.3
12035,11.6
12037,25.3
12039,25.6
12041,19.8
12043,21.1
12045,23.1
12047,31.7
12049,29.9
12051,25.3
12053,15.3
12055,19.5
12057,16.8
12059,26.7
12061,14.7
12063,24.3
12065,18.0
12067,25.6
12069,13.8
12071,16.0
12073,23.3
12075,21.2
12077,24.7
12079,27.7
12081,14.1
12083,17.8
12085,12.1
