code,percent
01000,6.1
01001,5.2
01003,5.5
01005,8.9
01007,6.6
01009,5.4
01011,7.8
01013,7.5
01015,7.0
01017,6.0
01019,5.4
01021,5.7
01023,9.1
01025,11.8
01027,6.2
01029,6.0
01031,5.9
01033,7.9
01035,9.2
01037,6.7
01039,7.1
01041,6.0
01043,5.3
01045,6.4
01047,9.6
01049,6.0
01051,5.1
01053,7.0
01055,6.1
01057,7.0
01059,6.4
01061,5.9
01063,11.0
01065,7.8
01067,6.8
01069,6.2
01071,6.6
01073,5.8
01075,6.3
01077,6.9
01079,7.7
01081,5.1
01083,5.5
01085,11.6
01087,8.1
01089,5.5
01091,7.7
01093,7.0
01095,5.8
01097,7.0
01099,10.1
01101,6.2
01103,5.8
01105,10.0
01107,6.8
01109,6.7
01111,5.9
01113,6.0
01115,5.2
01117,4.2
01119,8.0
01121,6.6
01123,6.1
01125,5.5
01127,7.2
01129,8.9
01131,14.7
01133,7.6
02000,6.5
02013,3.2
02016,3.8
02020,5.0
02050,14.4
02060,9.2
02068,8.7
02070,9.7
02090,5.4
02100,9.7
02105,15.0
02110,4.6
02122,7.8
02130,6.8
02150,4.9
02158,23.2
02164,12.7
02170,7.8
02180,11.7
02185,5.6
02188,15.5
02195,8.9
02198,12.5
02201,
02220,4.5
02230,11.5
02232,
02240,10.8
02261,8.8
02270,
02275,7.8
02280,
02282,8.3
02290,18.0
04000,6.1
04001,13.4
04003,7.4
04005,6.6
04007,8.0
04009,7.4
04011,7.9
04012,7.6
04013,5.2
04015,8.0
04017,9.7
04019,5.6
04021,6.3
04023,11.5
04025,5.6
04027,21.8
05000,5.2
05001,4.4
05003,8.0
05005,5.7
05007,3.9
05009,5.1
05011,6.2
05013,5.8
05015,4.8
05017,9.4
05019,5.7
05021,6.9
05023,7.2
05025,5.8
05027,6.8
05029,6.3
05031,4.6
05033,5.4
05035,6.4
05037,5.6
05039,7.4
05041,7.6
05043,7.1
05045,4.8
05047,5.2
05049,5.4
05051,5.7
05053,4.7
05055,5.3
05057,5.2
05059,5.2
05061,4.4
05063,6.7
05065,6.9
05067,7.8
05069,7.2
05071,6.0
05073,7.9
05075,6.3
05077,6.9
05079,6.3
05081,5.7
05083,5.9
05085,4.3
05087,3.9
05089,5.4
05091,5.2
05093,9.3
05095,6.3
05097,7.0
05099,5.2
05101,5.1
05103,6.6
05105,6.3
05107,7.9
05109,6.2
05111,5.7
05113,6.0
05115,5.5
05117,4.8
05119,4.7
05121,7.4
05123,7.5
05125,4.2
05127,5.0
05129,5.8
05131,5.0
05133,6.4
05135,7.1
05137,6.5
05139,6.4
05141,7.0
05143,3.6
05145,6.5
05147,6.7
05149,5.3
06000,6.2
06001,4.7
06003,7.9
06005,6.6
06007,7.2
06009,6.5
06011,15.3
06013,5.0
06015,8.6
06017,5.7
06019,10.2
06021,8.7
06023,5.6
06025,24.0
06027,5.8
06029,10.2
06031,10.5
06033,7.7
06035,7.3
06037,6.7
06039,10.5
06041,3.5
06043,7.2
06045,5.9
06047,11.4
06049,8.8
06051,6.1
06053,8.1
06055,4.6
06057,5.5
06059,4.5
06061,5.0
