時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,16.3,17.3,21.4,16.0,16.6,17.0,13.8,19.7,20.3,17.3,17.1,16.1,18.5,10.7,18.0,12.3,-0.6,19.5,16.4,7.0,14.7,17.2,10.6,17.4,21.7,16.5,18.9,16.9
2007-02,17.7,18.7,22.6,17.1,19.8,18.9,15.1,22.1,21.8,19.7,19.1,17.9,20.2,12.8,20.9,14.6,-1.4,21.2,18.4,7.9,16.0,19.3,12.3,20.5,23.0,17.8,20.5,18.2
2007-03,19.1,19.7,23.4,18.5,20.8,19.8,15.8,23.5,22.7,21.3,19.9,18.3,20.8,14.1,22.4,15.4,1.5,21.8,19.8,10.2,17.4,20.7,13.5,21.4,23.9,19.0,20.9,19.3
2007-04,20.8,21.2,24.6,20.2,22.4,20.8,18.0,25.0,23.7,22.6,21.1,19.5,21.9,15.3,24.1,16.8,2.8,22.8,21.4,11.4,18.2,22.3,15.7,22.8,25.1,20.6,21.8,20.9
2007-05,25.7,26.4,27.0,25.2,26.2,24.7,23.5,27.7,26.9,26.7,25.1,23.7,25.4,20.4,28.0,21.7,5.5,25.7,26.0,13.1,21.3,26.5,21.7,26.0,27.5,25.5,24.5,26.1
2007-06,27.6,28.0,28.8,26.9,28.1,27.5,26.3,28.9,28.8,28.5,27.6,26.2,27.7,22.2,29.1,23.5,6.5,27.8,27.5,14.5,22.1,27.4,25.1,27.7,28.7,27.3,26.5,27.6
2007-07,30.0,30.4,30.2,29.2,29.7,29.7,28.0,30.2,30.5,30.0,30.2,28.8,29.8,24.0,30.5,25.5,8.2,29.2,29.5,15.3,23.5,29.8,27.9,29.6,29.6,30.0,27.2,29.8
2007-08,28.4,28.7,27.2,28.0,28.1,28.0,27.6,28.1,27.7,27.9,28.2,27.6,27.6,22.7,28.3,24.2,6.3,27.4,27.9,14.5,22.4,27.8,27.1,27.9,27.6,28.5,25.8,28.2
2007-09,27.6,27.5,27.3,26.8,27.8,26.7,27.0,28.2,27.5,27.7,26.8,26.6,27.0,21.2,28.6,22.8,6.5,26.9,27.5,14.2,22.3,27.6,25.5,27.6,28.0,26.8,25.5,27.3
2007-10,24.5,24.8,26.3,23.9,25.3,23.9,24.3,26.8,25.8,24.7,23.8,23.8,25.0,17.8,26.4,19.6,5.9,25.5,24.5,12.8,20.7,25.4,22.2,25.3,26.7,23.8,23.9,24.4
2007-11,20.5,20.7,24.1,19.9,21.6,20.1,19.3,23.4,23.0,20.7,20.1,20.4,22.1,14.1,22.5,15.8,4.1,22.5,20.6,10.8,18.1,21.6,17.0,22.1,24.3,20.2,21.3,20.4
2007-12,18.6,19.3,22.3,18.2,19.5,19.1,16.6,21.8,21.4,18.9,19.0,18.7,20.5,12.9,20.5,14.7,0.8,20.9,18.6,8.1,16.7,19.6,14.1,20.2,22.9,18.7,20.7,18.9
2008-01,16.3,16.5,21.3,15.6,17.4,17.1,13.0,20.5,20.2,17.6,17.2,15.6,19.0,10.9,18.7,12.6,2.5,19.6,16.6,8.7,16.2,17.9,9.7,18.7,21.9,15.8,19.2,16.6
2008-02,13.4,14.1,19.8,13.2,13.2,15.0,10.8,17.8,18.4,14.7,15.0,14.0,17.1,8.2,15.8,9.9,-3.2,17.8,13.5,5.8,13.1,15.0,7.2,14.7,20.3,14.2,17.8,13.9
2008-03,18.3,19.3,22.2,18.2,20.5,19.2,16.1,23.1,21.3,20.0,19.4,18.5,20.2,13.3,21.8,15.1,-0.6,20.3,19.1,8.1,16.7,20.3,12.6,21.1,22.9,18.6,20.0,19.0
