時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,75,78,66,78,79,77,70,72,69,75,80,79,70,92,78,87,58,68,80,83,78,74,86,74,65,79,83,75
2007-02,76,74,67,77,75,76,74,68,68,72,74,80,67,85,72,84,69,68,79,79,75,70,88,71,68,77,80,74
2007-03,81,79,70,84,79,81,81,74,72,76,80,87,72,90,77,89,78,73,83,86,84,77,89,78,69,80,88,81
2007-04,78,75,67,80,76,79,79,74,72,78,79,84,78,90,73,87,77,73,80,87,87,75,86,77,67,74,86,77
2007-05,73,71,71,76,81,80,85,75,72,76,80,79,81,78,72,79,70,74,78,91,82,75,88,81,70,70,87,71
2007-06,79,80,72,84,84,83,93,77,76,74,84,91,85,90,75,90,84,78,81,95,86,79,92,86,80,79,91,80
2007-07,70,69,69,75,80,75,90,76,71,72,75,85,77,84,72,83,66,74,75,92,82,69,89,79,79,70,89,72
2007-08,78,76,84,79,85,79,88,82,80,83,81,87,84,90,82,89,86,79,80,97,84,75,92,82,86,74,93,77
2007-09,75,79,79,78,81,79,77,80,77,81,80,85,82,87,77,89,83,78,79,96,82,76,88,80,77,77,91,75
2007-10,71,76,71,77,76,80,67,77,70,82,81,78,77,88,75,90,70,71,76,90,81,71,82,78,70,79,88,74
2007-11,73,78,68,78,74,84,64,74,69,81,83,77,75,93,78,89,61,69,77,85,81,70,81,77,67,80,85,77
2007-12,75,74,71,77,78,79,73,73,72,76,78,77,75,90,76,85,48,70,79,81,70,72,87,78,71,77,84,75
2008-01,78,81,73,79,80,82,74,73,74,79,79,85,78,92,73,88,56,77,82,89,77,75,85,81,72,86,89,80
2008-02,79,83,70,83,81,79,69,72,74,84,77,78,77,96,75,91,87,75,84,91,83,77,82,82,69,81,87,83
2008-03,73,71,71,74,73,75,72,67,71,77,72,72,72,84,67,78,73,72,75,86,70,70,85,73,69,72,82,73
2008-04,76,77,73,80,80,83,83,74,76,81,80,80,82,87,69,83,79,79,78,88,80,73,90,80,73,76,88,76
2008-05,73,73,74,75,79,79,81,75,75,80,77,79,77,85,70,82,83,76,77,92,82,74,91,79,73,72,86,73
2008-06,76,78,80,83,86,80,92,83,81,77,78,86,82,88,77,87,82,83,77,89,85,77,91,85,83,76,90,78
2008-07,76,72,80,78,87,77,89,80,78,80,77,85,80,87,74,82,82,77,77,92,85,78,87,84,78,76,90,74
2008-08,74,70,80,73,85,75,89,79,79,78,76,84,77,86,72,84,82,78,75,92,84,75,92,82,82,72,90,71
2008-09,77,76,79,79,84,82,82,81,78,85,78,88,82,92,82,89,91,79,82,95,84,81,85,82,80,76,89,76
2008-10,73,76,75,81,81,82,80,78,78,84,76,82,81,89,78,91,73,76,80,93,83,76,79,80,74,78,86,75
2008-11,73,74,69,80,74,77,69,72,72,80,75,76,73,90,73,89,66,71,75,85,76,74,74,76,71,75,84,75
2008-12,70,70,64,75,71,73,70,68,64,75,71,71,69,85,69,83,52,66,73,78,69,69,75,69,66,72,77,72
2009-01,72,74,67,76,73,72,68,68,65,77,69,73,69,89,70,85,48,67,76,80,73,72,75,70,67,75,78,75
2009-02,78,77,79,78,83,84,78,75,74,81,75,85,77,88,76,84,55,77,80,82,75,74,86,78,75,83,86,77
2009-03,77,78,76,77,80,78,78,74,73,85,71,82,77,90,76,83,71,78,79,83,85,77,83,79,73,79,86,78
2009-04,69,72,74,72,76,77,72,73,72,83,73,77,75,84,75,79,92,75,75,93,87,72,83,77,72,72,83,73
2009-05,64,65,73,65,74,74,73,71,70,80,71,76,74,78,70,73,65,72,71,86,82,68,83,75,66,69,80,67
2009-06,71,73,77,76,82,79,86,77,77,81,77,87,80,82,75,81,78,78,75,90,86,75,88,79,81,74,92,75
2009-07,70,70,80,69,82,76,84,80,79,80,77,87,76,82,74,79,77,80,73,89,88,72,89,83,81,74,86,72
2009-08,73,74,80,76,82,78,81,81,78,84,78,88,79,87,76,81,77,81,75,93,89,76,91,84,82,79,86,75
2009-09,67,72,76,71,78,79,70,77,76,80,79,82,80,88,72,82,74,73,70,90,85,70,89,78,76,78,87,70
2009-10,74,76,74,79,73,81,61,75,74,80,80,76,74,94,71,84,62,73,72,85,85,68,79,73,73,80,85,75
