時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,100.4,94.7,103.1,94.0,76.7,66.9,144.8,172.4,90.7,161.6,70.0,54.4,65.4,58.8,156.1,90.8,195.8,72.5,142.9,150.3,172.4,174.6,96.2,84.7,166.5,51.6,72.6,99.1
2007-02,149.5,128.8,152.7,119.7,177.8,95.6,148.4,241.5,122.4,213.7,117.7,114.8,106.0,85.9,219.7,107.4,149.9,90.4,183.7,161.2,178.5,178.8,135.6,195.8,199.6,84.6,114.8,129.6
2007-03,82.3,77.4,124.6,69.6,98.5,83.3,69.7,200.1,109.2,158.9,100.1,66.1,91.3,49.7,166.4,67.1,95.8,91.0,131.3,132.2,117.1,127.6,75.5,122.0,180.6,59.6,96.9,73.0
2007-04,96.9,84.7,124.4,89.6,126.7,91.6,96.3,195.7,88.4,145.6,100.8,108.4,96.3,62.7,149.8,77.0,124.6,61.3,125.1,114.6,79.7,101.5,128.1,127.4,183.9,81.4,99.1,79.0
2007-05,203.4,172.6,189.0,192.4,233.0,155.2,155.2,226.6,174.7,204.7,165.6,169.6,170.3,140.7,210.4,87.4,150.2,136.3,227.7,111.5,144.3,173.4,138.9,232.6,198.2,171.4,161.6,183.0
2007-06,153.0,105.1,215.9,139.5,197.9,153.0,128.3,204.7,212.3,149.4,153.5,169.9,180.7,66.8,162.3,85.8,81.3,184.3,160.8,75.0,75.3,124.7,149.4,152.3,209.5,135.1,196.3,115.6
2007-07,295.6,196.0,312.7,258.8,338.6,301.3,291.8,290.6,328.2,252.8,311.2,320.4,317.2,138.0,265.1,167.2,177.5,293.6,314.0,131.2,163.6,233.4,324.8,278.2,271.7,263.7,244.5,232.4
2007-08,172.9,150.6,131.6,172.0,167.6,171.3,160.5,138.6,140.4,137.8,176.3,229.2,165.1,92.2,118.2,122.0,69.1,128.4,178.8,64.3,110.0,131.6,180.9,138.4,138.9,176.9,102.9,144.5
2007-09,189.4,146.6,134.1,152.8,171.0,120.9,172.6,159.0,124.5,162.2,138.7,178.1,147.7,80.2,138.1,124.2,109.6,116.6,207.1,101.0,112.1,157.1,138.4,191.7,170.1,99.1,95.5,159.8
2007-10,155.4,100.1,145.5,108.1,150.7,56.2,194.1,176.6,129.3,186.2,62.6,123.5,100.8,35.2,188.8,86.4,205.2,102.6,210.0,112.5,122.6,182.1,162.2,177.2,183.8,57.6,93.0,91.5
2007-11,151.4,64.0,130.2,63.8,98.8,25.5,162.8,165.4,94.6,153.4,27.7,62.4,50.7,13.2,171.4,60.9,216.2,86.1,178.7,140.1,132.5,172.5,120.9,122.7,181.6,19.8,72.9,75.3
2007-12,128.4,92.4,119.0,88.3,120.2,52.4,133.6,193.8,110.0,191.1,62.2,73.5,84.7,55.1,194.9,99.2,269.5,81.3,203.7,155.5,191.0,206.1,95.6,126.7,197.2,43.6,75.3,88.5
2008-01,90.4,61.2,62.9,57.2,68.2,41.2,91.8,135.5,49.4,135.5,56.8,46.4,39.4,35.6,139.5,70.3,211.8,27.8,133.0,118.0,145.9,143.6,62.9,73.5,133.5,31.2,28.8,65.4
2008-02,35.5,20.1,72.8,15.1,47.3,9.3,89.5,144.8,47.3,80.0,12.5,8.5,34.1,3.7,86.8,22.8,94.9,23.3,67.5,64.1,91.3,97.6,78.1,29.9,121.6,2.0,45.1,22.7
2008-03,137.3,158.6,118.4,143.4,185.3,91.9,156.5,205.1,102.8,183.9,113.7,136.3,102.0,114.3,194.1,142.0,160.7,68.6,190.1,105.3,160.2,179.1,152.9,172.6,181.1,103.3,88.1,149.9
