時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,30,29,29,29,29,30,29,29,29,29,28,30,29,28,29,29,29,29,29,29,29,29,8,29,26,29,28,30
2007-02,3,2,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,3,3,2,2,2,3,2,2,3,2,2
2007-03,6,6,7,6,6,6,7,20,7,7,6,6,6,6,7,6,19,6,7,21,7,7,8,7,7,6,7,6
2007-04,4,4,4,19,4,3,4,4,4,4,4,4,4,4,4,3,11,4,4,12,4,4,3,4,4,19,4,4
2007-05,8,3,10,2,7,8,4,20,19,9,3,1,19,7,20,8,1,19,7,8,8,7,4,20,12,2,19,3
2007-06,10,8,9,7,7,9,9,9,19,8,11,8,11,11,9,10,10,18,9,30,8,11,8,9,9,10,9,8
2007-07,31,11,1,30,10,27,28,25,30,25,5,13,2,27,16,1,29,1,15,1,24,25,23,10,31,9,16,2
2007-08,21,22,21,4,22,18,24,10,18,31,23,18,7,23,14,4,30,18,19,6,25,25,5,15,14,23,20,24
2007-09,15,19,26,14,18,7,20,19,20,19,15,19,7,14,19,14,1,26,19,15,20,19,19,18,26,19,25,15
2007-10,23,20,28,20,21,22,21,24,21,20,27,30,21,20,20,20,11,28,21,22,29,20,31,21,28,22,20,21
2007-11,28,30,30,30,29,27,29,30,30,30,30,28,30,29,30,29,29,30,28,29,30,30,28,28,30,27,30,30
2007-12,31,31,31,31,31,31,31,31,31,2,31,31,31,31,31,31,25,31,31,31,31,31,31,31,31,31,31,31
2008-01,2,2,2,2,30,2,31,2,2,3,2,2,1,2,2,2,1,1,2,5,3,3,31,1,2,2,1,2
2008-02,13,13,14,9,9,13,10,10,14,10,13,9,13,12,10,12,16,13,13,16,10,10,1,9,10,9,13,13
2008-03,6,1,2,5,6,5,1,5,5,4,5,31,6,5,5,1,4,5,5,4,5,4,31,6,5,1,5,3
2008-04,1,1,25,25,1,1,1,1,1,1,1,3,1,1,1,1,27,1,1,25,1,1,1,1,1,3,1,1
2008-05,5,5,12,12,5,20,5,20,12,12,12,5,12,5,12,5,13,12,5,12,19,5,6,20,20,5,20,12
2008-06,1,3,6,3,14,3,1,5,5,7,4,1,5,3,5,3,13,5,1,21,5,13,2,5,3,3,5,3
2008-07,6,1,18,18,19,19,18,7,30,19,19,29,19,30,18,30,16,28,18,5,19,18,9,19,8,19,8,12
2008-08,10,24,9,9,23,10,22,22,11,23,10,31,10,9,22,10,9,2,23,10,11,6,29,23,21,15,6,11
2008-09,30,30,6,30,29,30,30,29,28,7,30,30,30,30,29,30,11,6,29,2,29,30,1,29,28,2,28,30
2008-10,7,7,7,7,7,29,6,7,8,28,7,7,8,7,28,28,7,7,7,21,19,28,6,7,23,7,7,29
2008-11,29,29,29,29,28,29,29,30,30,30,29,28,29,28,29,28,27,29,30,11,29,29,29,28,29,29,29,29
2008-12,22,22,17,7,22,7,23,7,7,7,7,22,7,31,7,31,15,5,7,7,7,7,23,31,17,22,6,8
2009-01,10,14,11,14,10,24,11,14,11,11,14,24,11,24,14,13,13,10,11,11,11,14,24,10,11,14,10,14
2009-02,2,2,11,20,1,21,1,1,21,7,21,20,11,20,21,20,10,1,1,2,5,3,17,1,5,20,21,2
2009-03,14,14,14,14,14,14,7,14,15,15,15,14,15,14,14,14,9,14,14,15,14,14,14,14,15,14,14,14
2009-04,26,9,3,1,26,2,7,1,3,2,9,2,2,2,2,2,2,2,26,9,28,26,2,26,2,1,2,9
2009-05,7,30,7,5,10,8,7,1,8,6,7,31,8,5,6,5,4,8,6,6,9,6,8,10,4,30,2,30
2009-06,6,6,2,6,6,6,5,1,2,1,6,6,6,7,1,6,7,6,22,1,1,5,4,5,7,6,2,6
2009-07,4,25,7,2,14,4,5,13,13,4,4,3,4,2,13,3,3,7,3,3,4,5,3,4,4,2,13,4
2009-08,17,13,8,21,9,19,20,30,9,16,21,9,10,21,8,19,28,11,9,18,15,13,15,9,18,8,8,17
2009-09,21,29,28,20,19,20,22,6,27,26,20,25,27,20,30,20,5,27,29,8,26,29,30,30,28,20,28,20
2009-10,26,26,27,26,27,27,27,28,28,27,26,18,28,26,27,26,25,27,27,29,30,27,11,28,24,18,29,26
2009-11,17,18,19,17,22,18,18,21,3,18,18,17,3,2,18,2,25,17,17,29,4,30,17,22,3,17,3,18
2009-12,22,21,22,21,21,19,29,20,20,22,19,28,21,20,20,19,22,21,22,20,20,22,29,21,30,22,21,19
2010-01,15,13,9,13,12,14,13,13,15,14,13,12,14,12,13,13,13,15,14,13,13,13,6,12,11,13,14,13
2010-02,18,19,20,19,19,18,13,19,19,19,19,12,19,18,19,19,23,19,19,23,19,19,17,19,22,19,18,19
2010-03,10,10,10,10,10,11,11,10,11,11,11,10,10,10,11,10,11,10,11,10,10,10,11,10,11,11,10,11
2010-04,15,15,24,16,8,15,8,16,16,16,15,15,15,15,16,15,9,30,16,10,30,16,14,15,30,15,30,15
2010-05,1,10,1,11,1,1,11,1,1,1,1,11,1,1,1,31,2,1,10,1,1,1,13,1,24,10,1,1
2010-06,1,1,1,1,4,1,3,4,3,7,1,3,2,2,3,1,5,2,3,7,8,3,2,4,3,1,3,1
2010-07,28,28,27,28,28,29,29,27,25,22,15,26,25,26,15,27,21,24,28,22,18,21,26,28,27,28,26,16
2010-08,31,31,22,31,31,30,30,26,23,26,31,31,30,9,5,31,26,30,31,27,25,26,31,29,25,31,25,31
2010-09,18,25,14,25,20,25,26,20,20,21,25,24,20,25,19,25,3,21,25,18,13,21,24,9,19,25,14,21
2010-10,28,28,30,27,29,27,29,31,28,31,31,29,28,28,29,29,31,29,29,30,27,31,29,29,28,27,29,27
2010-11,11,10,27,10,28,10,24,26,27,26,10,16,10,26,26,26,26,27,10,26,28,26,24,27,29,10,25,10
2010-12,18,27,27,31,17,27,17,27,28,18,27,27,28,27,27,26,17,31,18,17,27,27,17,16,17,27,31,28
2011-01,16,16,17,1,16,16,17,16,17,1,16,16,17,16,12,16,31,16,12,17,15,1,16,16,16,16,16,16
2011-02,14,14,13,14,1,15,15,15,1,1,15,14,1,14,15,14,3,1,14,5,1,14,15,1,2,14,15,14
2011-03,28,28,28,8,4,4,27,28,17,28,26,4,9,28,28,28,28,16,27,3,28,28,4,4,28,15,16,28
2011-04,4,4,25,5,4,6,6,5,6,5,6,4,6,5,5,5,19,6,4,20,1,5,6,4,25,6,5,24
2011-05,30,29,18,29,17,4,4,17,17,29,29,3,17,28,17,29,22,17,30,20,17,17,4,17,17,3,17,29
2011-06,2,3,2,3,1,3,3,28,1,4,4,1,4,1,28,2,1,4,2,1,2,2,3,1,4,3,1,30
2011-07,15,14,15,15,15,16,16,16,14,6,18,15,13,15,14,15,9,1,14,4,29,14,17,29,10,10,15,17
2011-08,6,12,31,4,31,27,30,30,31,30,27,28,28,3,31,4,31,27,31,22,19,8,31,30,30,22,30,12
2011-09,6,6,7,20,23,22,24,13,22,23,22,6,22,23,22,20,13,22,24,21,21,23,24,23,7,20,24,6
2011-10,26,25,27,30,26,25,27,28,26,28,25,26,20,26,27,26,27,20,27,27,28,28,26,26,21,3,28,26
2011-11,24,25,27,24,24,23,25,28,27,25,24,24,24,24,24,24,24,26,25,25,25,25,25,24,28,25,24,24
2011-12,25,24,24,24,24,24,25,24,24,25,25,24,25,24,25,24,24,24,26,26,24,25,17,24,25,24,25,24
2012-01,4,4,3,4,23,4,5,5,26,5,4,5,5,4,5,4,27,26,5,19,3,4,5,23,27,4,4,4
2012-02,8,8,1,8,8,9,2,9,9,9,9,8,9,8,9,8,2,8,8,4,18,9,3,8,8,8,9,8
2012-03,10,24,24,24,12,24,11,11,12,24,24,24,25,24,12,24,25,24,10,26,26,10,10,11,24,24,24,24
2012-04,4,6,2,6,6,1,7,2,2,1,1,4,6,3,1,6,22,2,1,1,2,1,1,17,5,26,1,26
2012-05,6,6,17,6,5,6,5,5,18,22,6,4,18,5,22,5,5,17,5,7,7,5,4,5,18,7,18,6
2012-06,21,1,13,6,21,13,4,21,14,21,13,1,13,1,21,1,25,13,21,28,28,21,20,21,14,12,5,12
2012-07,3,16,28,4,22,26,22,23,23,24,17,25,28,3,25,27,28,26,31,27,16,21,17,22,23,27,23,16
2012-08,17,31,24,26,2,29,29,10,25,26,26,6,24,21,10,31,29,27,10,21,17,20,5,2,25,1,30,31
2012-09,29,30,18,30,30,30,30,2,30,17,30,19,20,30,17,29,18,18,30,18,18,17,16,30,30,30,19,29
2012-10,20,31,20,18,19,31,19,31,20,22,13,31,21,18,19,18,31,4,19,2,22,23,31,19,31,31,31,21
2012-11,26,27,28,26,27,26,27,27,27,27,26,26,27,26,27,26,19,26,27,7,28,27,27,27,28,26,27,26
2012-12,30,30,30,30,31,30,31,31,31,31,31,30,31,30,31,30,12,31,31,20,30,31,31,31,31,30,30,31
2013-01,15,18,16,28,18,18,18,18,1,19,18,18,1,18,18,18,28,18,1,29,1,15,18,18,16,18,18,31
2013-02,9,9,10,8,22,9,8,9,20,1,20,8,1,9,9,9,28,10,9,23,10,1,8,22,10,9,9,9
2013-03,4,4,4,4,3,5,15,3,4,7,4,2,4,3,4,4,7,4,3,7,7,4,2,3,7,4,3,4
2013-04,3,12,8,15,7,12,7,7,7,7,12,7,7,6,7,7,7,7,7,7,7,7,8,7,7,12,7,12
2013-05,1,1,2,1,3,1,1,2,2,1,1,1,1,1,3,1,2,2,1,26,3,1,1,3,2,1,1,1
2013-06,5,4,19,6,12,6,13,23,22,7,6,5,6,6,24,6,19,6,6,7,24,4,4,24,22,11,15,6
2013-07,14,13,14,7,13,17,18,14,18,10,19,17,18,17,9,7,13,18,13,11,11,31,13,9,14,13,19,14
2013-08,25,31,1,31,31,31,31,29,1,30,31,31,16,18,29,30,1,1,30,29,29,30,31,31,31,31,1,25
2013-09,2,2,26,2,1,3,2,2,17,2,3,18,5,2,2,2,2,3,1,17,2,2,27,1,3,3,3,3
2013-10,28,27,27,27,26,28,27,27,28,27,26,26,27,26,27,26,26,28,27,27,28,27,26,26,24,28,17,27
2013-11,30,29,30,29,29,30,29,30,30,30,30,29,30,29,30,29,29,30,30,29,29,30,29,30,30,30,29,29
2013-12,1,28,28,28,27,29,30,28,28,28,27,27,28,27,28,27,27,27,28,5,28,28,28,27,28,27,27,28
2014-01,24,22,22,22,22,24,23,22,23,23,22,22,23,22,22,22,15,24,23,23,23,23,23,22,22,24,21,24
2014-02,11,11,22,11,11,11,11,11,11,21,11,11,21,11,21,11,20,11,11,20,20,21,11,11,20,11,10,11
2014-03,9,21,14,10,8,15,7,9,15,15,15,21,14,21,9,21,10,21,8,10,15,9,3,9,21,21,21,21
2014-04,5,5,4,5,2,5,7,5,4,5,15,4,5,5,2,5,5,4,5,5,5,5,7,2,5,5,4,5
2014-05,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,1,7,6,5,6,7,6,3,6
2014-06,13,6,13,12,6,12,10,7,13,3,6,3,14,12,6,12,5,13,12,5,6,6,24,6,14,6,12,6
2014-07,26,26,29,26,23,23,24,19,22,19,24,23,24,28,25,25,24,28,23,21,23,23,23,25,27,26,22,26
2014-08,18,19,23,18,19,24,29,13,21,21,24,20,21,26,20,20,20,23,18,21,18,31,28,19,23,24,18,18
2014-09,28,29,21,29,22,29,22,21,21,24,29,29,30,29,22,29,30,29,22,30,14,22,21,22,21,29,19,29
2014-10,16,16,17,16,15,16,16,16,16,15,16,16,16,15,15,14,11,17,16,14,15,15,15,17,16,16,15,16
2014-11,21,18,20,5,18,19,20,20,13,20,14,17,20,13,20,18,20,20,20,20,20,20,18,18,25,5,14,18
2014-12,30,17,31,30,17,30,30,22,17,31,30,17,18,17,17,17,29,17,17,30,17,18,17,17,17,30,17,31
2015-01,24,23,3,23,23,23,2,2,2,23,23,1,24,22,2,1,22,16,23,22,23,23,31,1,2,23,2,24
2015-02,13,9,10,9,9,8,10,10,10,10,9,9,9,9,10,9,11,11,13,10,10,13,10,9,11,13,9,9
2015-03,11,11,13,11,12,10,5,11,2,11,11,1,10,1,2,1,13,1,11,13,13,11,5,12,14,1,10,11
2015-04,15,15,14,15,15,15,9,15,14,15,14,14,14,14,9,14,14,14,9,14,14,15,8,15,14,15,13,15
2015-05,5,5,21,5,5,5,5,26,21,5,5,12,13,4,21,5,6,5,5,6,20,20,5,5,13,5,4,5
2015-06,9,21,1,8,5,1,7,1,1,8,8,5,9,7,1,21,1,20,1,3,4,1,4,22,23,6,23,9
2015-07,29,28,30,24,22,14,5,22,14,27,14,14,8,31,27,24,29,23,22,31,30,29,4,22,28,15,8,29
2015-08,30,8,31,27,30,27,31,29,9,8,26,27,27,27,29,27,5,2,29,6,30,30,31,8,31,27,21,6
2015-09,11,19,19,11,29,19,12,1,12,19,19,20,11,18,29,19,9,11,19,10,14,19,20,29,21,11,13,12
2015-10,11,11,14,13,11,13,15,17,14,14,14,30,14,11,15,11,29,14,14,14,15,15,31,31,30,31,21,15
2015-11,28,26,28,26,27,26,27,27,27,27,26,27,28,26,27,26,26,28,27,27,28,27,27,27,27,27,27,27
2015-12,17,17,17,18,17,17,18,17,17,19,17,17,18,17,18,17,12,17,17,29,17,17,18,17,18,17,17,17
