時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,24,2,24,26,4,28,27,28,24,28,23,26,28,28,28,4,27,14,24,26,19,28,12,24,14,26,4,25
2007-02,1,27,17,14,1,14,14,14,14,17,14,14,17,25,1,14,13,14,1,13,9,1,13,1,2,1,10,15
2007-03,17,21,5,11,6,5,5,19,15,4,27,5,5,27,19,9,26,5,17,19,19,19,31,6,5,5,6,5
2007-04,2,17,24,18,2,17,2,2,22,2,2,18,2,18,18,1,18,22,2,24,24,18,22,2,3,2,1,1
2007-05,16,10,19,10,13,12,18,14,5,24,13,18,19,5,5,18,5,5,18,5,27,18,24,20,10,28,25,13
2007-06,2,27,24,15,11,20,14,5,14,4,29,11,26,3,29,9,27,28,28,24,7,11,14,11,8,19,7,2
2007-07,19,19,7,19,3,22,17,2,10,2,13,19,8,13,2,12,8,8,5,29,2,5,18,15,13,19,19,19
2007-08,18,18,8,18,18,18,19,18,18,12,18,18,18,18,18,24,15,18,18,18,18,18,18,18,8,18,7,18
2007-09,18,18,18,18,17,2,30,18,29,17,18,18,22,18,18,18,29,30,18,18,18,18,19,17,30,18,18,18
2007-10,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,7,6,6,6,6,6
2007-11,24,12,27,26,27,26,18,27,27,27,26,26,27,26,27,19,6,27,27,27,27,26,25,27,6,27,27,15
2007-12,5,4,3,23,5,24,23,24,3,2,19,23,30,5,19,5,31,7,31,16,24,8,23,31,8,30,3,5
2008-01,16,23,24,29,16,29,12,29,31,30,12,30,16,29,30,27,1,30,1,11,17,29,16,16,13,30,14,17
2008-02,18,16,26,18,24,26,15,26,26,8,5,9,26,6,12,4,3,9,27,23,5,10,18,9,16,12,20,24
2008-03,7,20,19,1,20,28,30,30,23,3,3,29,19,19,3,19,2,30,3,28,23,3,31,19,19,23,23,20
2008-04,6,9,18,9,23,10,10,20,10,8,17,9,23,23,28,10,16,16,23,16,16,23,8,23,24,23,9,9
2008-05,11,15,14,30,11,9,5,10,5,10,11,22,10,10,10,5,21,15,11,21,28,10,28,10,11,10,5,30
2008-06,11,9,10,12,17,17,14,5,24,17,12,17,16,12,24,12,16,15,29,25,29,27,10,17,15,6,2,11
2008-07,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,8,29,28,27,28,18,28,18,29,28,28,28,28
2008-08,23,23,4,20,23,20,22,22,22,23,20,21,22,20,21,7,21,22,22,22,13,22,22,22,20,21,11,20
2008-09,28,28,22,13,28,28,23,28,29,29,28,28,28,13,28,28,23,29,28,28,14,28,28,28,22,13,13,28
2008-10,14,16,17,17,11,17,6,31,15,6,17,7,7,7,7,12,15,27,15,7,24,27,16,11,11,6,15,11
2008-11,18,1,19,10,9,27,25,27,18,27,27,10,9,27,27,24,8,9,19,25,9,27,10,10,24,10,10,12
