時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,26,2,27,26,24,28,27,28,4,28,23,26,24,11,28,27,6,6,24,26,31,28,12,28,14,26,27,25
2007-02,1,14,1,14,1,1,14,22,14,1,14,14,1,28,1,14,21,14,1,9,9,1,14,1,23,1,10,28
2007-03,6,21,5,5,5,5,17,19,5,19,19,5,5,8,19,11,26,5,6,19,27,19,31,5,6,5,11,5
2007-04,1,18,18,18,2,18,2,2,22,18,2,18,2,18,18,18,18,2,2,24,24,2,22,2,4,2,2,18
2007-05,27,13,18,19,13,13,18,5,5,5,16,18,19,10,5,16,5,5,18,5,18,18,24,20,10,28,25,16
2007-06,2,3,18,2,8,28,13,5,14,4,29,11,26,25,29,15,10,11,15,7,9,11,14,8,11,10,9,15
2007-07,19,19,15,19,5,12,19,2,10,5,13,19,8,18,24,17,17,5,5,17,2,17,18,15,13,19,13,19
2007-08,18,18,7,18,18,18,18,18,18,18,18,18,18,18,18,18,8,18,18,18,18,19,18,18,8,18,7,18
2007-09,30,18,18,18,22,18,30,18,19,18,18,18,9,18,18,18,23,30,18,18,30,18,18,17,30,18,18,18
2007-10,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6
2007-11,4,25,27,26,27,26,18,27,27,27,26,26,27,26,27,26,26,27,27,27,7,26,4,27,7,27,27,15
2007-12,5,14,3,20,5,31,24,24,7,31,19,24,30,5,24,24,29,7,30,6,24,31,23,31,4,30,24,7
2008-01,14,17,31,29,16,26,16,30,31,29,12,30,16,25,30,31,9,30,16,29,17,30,16,16,13,16,13,25
2008-02,24,24,26,6,27,26,15,2,9,26,5,12,26,12,12,4,1,9,12,5,5,6,17,9,13,9,9,24
2008-03,7,20,19,1,19,19,30,30,23,3,28,28,19,23,3,19,25,18,19,24,31,3,31,19,19,28,23,20
2008-04,6,9,9,9,23,10,10,22,16,28,17,9,10,23,28,30,9,10,23,16,16,23,8,23,24,9,10,9
2008-05,11,15,14,16,11,30,5,29,5,10,30,22,10,10,10,5,21,15,10,31,30,10,28,11,11,10,10,29
2008-06,28,11,10,11,17,17,17,5,25,17,17,17,16,14,24,12,14,15,24,25,29,12,10,17,14,6,2,11
2008-07,28,28,28,28,28,28,29,28,28,28,28,28,28,28,28,27,28,28,27,28,18,28,28,28,28,28,28,28
2008-08,22,4,20,5,21,20,22,22,22,22,20,21,22,5,21,7,21,23,22,22,13,22,21,22,20,21,11,4
2008-09,28,28,22,29,28,28,23,28,14,29,28,28,28,28,28,13,29,29,28,28,14,28,28,28,22,13,13,28
2008-10,15,16,17,16,11,17,6,7,15,6,17,7,7,16,7,7,7,15,11,6,29,6,16,15,11,6,15,16
2008-11,24,25,19,10,10,27,25,27,18,27,27,10,9,9,27,20,8,9,10,27,10,27,8,10,25,11,11,12
2008-12,22,7,5,3,22,22,22,5,22,5,13,21,5,5,5,30,13,22,22,31,31,22,22,5,22,5,22,18
2009-01,5,15,23,23,24,23,1,9,23,23,30,23,23,31,9,26,22,23,23,14,19,10,26,24,23,23,2,3
2009-02,13,28,20,1,16,20,20,12,20,13,20,12,20,17,12,17,13,20,17,3,13,5,13,17,17,12,20,17
2009-03,13,22,13,13,14,13,6,14,13,14,5,13,13,13,14,6,6,13,14,5,29,13,6,13,6,13,14,22
2009-04,1,30,25,30,2,5,25,5,25,13,14,20,17,29,5,13,14,20,1,20,13,13,20,1,2,25,25,28
2009-05,6,1,1,1,27,27,1,11,27,21,24,2,27,26,22,26,20,27,4,3,21,4,16,4,1,21,5,1
2009-06,22,22,3,22,21,21,21,21,21,21,14,23,20,22,21,16,21,21,22,21,4,22,22,21,21,13,3,26
2009-07,24,18,17,18,18,18,14,18,17,24,18,18,18,17,18,18,18,13,25,13,19,25,23,18,17,18,17,18
2009-08,7,7,8,8,8,7,8,8,8,8,7,8,7,7,8,7,9,8,7,8,9,7,8,9,8,8,8,7
2009-09,13,13,28,22,3,27,13,14,26,27,2,27,4,29,14,28,28,4,3,27,28,5,29,26,28,29,26,22
2009-10,4,5,6,4,6,5,6,23,21,23,5,5,24,6,24,6,4,24,6,6,6,25,5,6,4,23,4,5
2009-11,2,2,2,17,2,2,3,17,3,2,2,17,2,2,2,19,10,2,2,10,15,2,16,2,2,2,3,3
2009-12,3,5,16,27,31,16,16,27,16,3,16,16,26,25,27,31,19,28,3,1,27,3,16,3,16,3,3,5
2010-01,17,26,25,14,25,25,25,25,25,12,5,12,25,18,12,26,31,5,25,12,3,12,11,25,26,11,26,26
2010-02,26,11,11,11,16,1,12,7,11,10,11,11,11,13,17,12,2,12,18,25,4,16,11,16,16,16,18,11
2010-03,26,15,28,30,26,25,16,25,28,9,10,9,25,29,25,21,9,16,25,13,24,9,20,25,28,9,25,21
