時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,15.2,14.6,14.3,15.9,20.8,22.8,16.9,13.4,15.4,15.2,13.4,21.3,17.8,18.9,18.4,17.0,30.2,16.6,25.3,10.8,8.6,14.3,17.4,26.5,23.8,19.5,35.9,13.9
2007-02,14.3,14.3,14.0,14.8,18.8,19.5,17.9,12.1,19.2,13.6,13.9,22.3,16.5,18.1,16.2,18.3,29.5,17.1,25.1,14.2,9.6,13.1,16.0,24.7,20.4,15.5,25.8,13.4
2007-03,15.9,14.8,18.2,14.7,21.0,23.9,20.8,14.3,17.9,12.7,12.9,22.7,22.1,18.6,17.4,19.0,28.3,18.1,24.4,12.8,10.2,15.2,21.1,28.2,24.8,15.1,30.1,14.7
2007-04,15.5,15.6,16.1,15.8,22.8,21.5,23.2,25.4,17.4,17.1,24.1,31.1,18.0,22.7,22.2,17.8,36.2,18.9,29.3,18.4,20.0,16.3,22.5,39.0,22.9,20.2,31.2,15.2
2007-05,14.8,14.4,15.4,13.2,13.5,14.9,17.2,12.8,15.9,11.5,11.1,19.8,12.0,17.1,12.8,19.3,27.3,18.9,15.0,12.5,15.2,9.8,19.8,17.7,15.9,14.6,28.9,14.1
2007-06,15.8,12.5,12.0,13.4,16.5,14.4,18.4,14.2,14.6,15.6,9.4,23.9,17.1,16.4,16.9,12.1,31.1,16.2,19.9,16.6,19.6,14.2,19.5,20.3,16.7,11.5,30.0,13.7
2007-07,16.1,14.0,12.5,14.0,11.7,14.7,14.4,12.7,13.4,12.7,15.1,22.3,13.5,18.3,16.3,11.5,19.9,13.0,15.7,12.2,17.3,10.7,20.4,18.1,15.0,17.8,32.3,16.4
2007-08,23.8,30.4,27.3,25.2,35.0,35.2,23.4,28.4,27.7,19.3,27.8,39.5,30.3,36.4,26.1,25.1,41.5,51.1,27.3,21.5,19.6,16.3,29.6,34.9,29.8,31.1,69.4,29.6
2007-09,18.5,20.5,19.1,21.6,18.9,21.0,21.2,18.2,14.7,14.4,16.3,54.1,13.5,30.6,18.9,19.6,33.4,20.4,29.1,13.9,19.4,15.6,22.7,26.1,23.2,26.6,42.0,20.1
2007-10,32.2,35.2,24.8,39.5,27.5,52.7,18.3,25.7,24.9,27.3,47.1,51.4,41.1,49.3,27.5,42.3,43.1,37.2,46.4,32.1,37.3,27.7,34.1,34.7,32.3,49.6,53.8,26.8
