時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,33,33,40,43,38,34,30,29,35,32,44,45,29,57,28,56,14,40,26,26,27,26,47,32,42,39,52,31
2007-02,38,34,41,45,46,45,35,37,37,40,47,47,36,35,37,33,14,40,30,23,38,31,53,37,43,45,55,34
2007-03,49,45,29,52,64,47,39,47,29,50,58,66,52,44,52,42,14,46,60,25,41,45,56,63,49,52,68,50
2007-04,24,35,33,40,48,41,31,51,34,54,51,57,48,38,43,45,15,49,45,17,44,45,49,47,39,37,66,39
2007-05,28,32,47,32,50,47,45,47,33,44,49,55,50,15,35,26,13,47,41,28,44,34,37,50,27,40,64,31
2007-06,54,48,41,56,60,59,75,53,52,52,59,67,61,66,47,63,32,61,62,51,58,52,71,68,55,52,70,52
2007-07,46,40,42,55,54,44,68,46,47,52,47,65,55,50,47,53,29,52,59,44,56,43,60,64,50,44,64,47
2007-08,41,46,53,50,58,56,50,54,52,55,50,64,51,70,48,60,33,49,57,64,53,45,67,62,50,50,71,49
2007-09,43,50,54,55,60,54,46,58,43,49,50,66,53,58,50,63,16,54,54,57,34,46,45,67,51,54,71,49
2007-10,47,48,42,50,52,52,41,56,34,46,49,51,34,73,49,66,14,31,53,28,33,40,49,55,45,51,62,51
2007-11,48,49,41,53,52,47,29,56,40,47,51,50,42,76,45,61,12,40,59,25,47,43,44,59,41,50,57,51
2007-12,39,38,45,51,53,52,45,36,47,39,47,52,52,56,36,49,13,46,36,22,37,33,42,58,45,37,57,42
2008-01,46,44,50,48,51,52,28,45,49,41,49,55,49,55,41,53,13,54,53,31,46,40,38,60,52,53,57,45
2008-02,50,55,49,58,46,59,30,39,47,47,58,45,55,46,50,51,20,56,62,52,43,45,44,52,49,55,63,60
2008-03,31,25,42,40,35,32,21,26,42,29,36,40,35,19,23,30,15,41,29,25,25,22,43,40,47,32,58,28
2008-04,28,25,29,21,48,40,53,50,24,50,46,50,47,42,40,36,32,55,42,44,33,34,54,52,44,37,63,26
2008-05,25,40,41,41,42,37,36,50,44,36,51,40,50,16,38,16,14,49,41,37,53,39,54,50,39,40,66,32
2008-06,51,41,37,54,66,53,62,51,47,41,61,67,48,32,45,54,17,60,55,33,52,31,57,70,52,46,71,40
2008-07,52,41,51,53,63,56,54,59,47,50,46,67,51,56,53,46,27,50,59,47,50,47,59,70,44,48,65,43
2008-08,44,41,51,49,60,50,61,52,54,48,56,64,53,60,46,64,30,54,48,47,49,43,60,67,53,43,66,46
2008-09,42,52,52,43,62,61,53,52,36,53,52,63,49,41,54,49,29,43,59,60,44,48,54,67,57,54,65,51
2008-10,51,48,59,51,63,61,55,51,60,56,61,60,59,56,54,66,14,63,64,51,55,48,54,68,56,58,72,53
2008-11,45,43,42,48,41,47,28,30,43,40,50,44,45,56,42,67,13,43,47,18,41,37,33,52,44,44,60,47
2008-12,34,38,41,34,43,44,25,28,38,28,44,38,39,21,31,34,14,42,49,20,28,30,46,53,46,46,56,39
2009-01,34,38,39,44,45,47,24,39,37,35,47,48,40,38,43,48,13,39,41,18,33,29,39,55,44,47,57,39
2009-02,39,42,37,42,62,45,45,49,42,33,49,52,52,32,51,48,14,46,45,19,34,32,63,65,44,42,64,35
2009-03,37,45,40,49,51,51,46,51,47,40,53,46,50,53,52,61,14,52,52,18,46,36,52,46,50,50,56,51
2009-04,35,37,42,38,47,46,38,38,32,47,48,41,46,37,45,49,17,48,48,41,51,45,41,54,48,43,61,43
2009-05,23,18,32,24,33,34,26,41,32,35,32,41,32,27,40,39,15,29,36,22,47,32,30,47,19,26,60,23
2009-06,43,35,43,46,56,52,48,48,52,43,54,65,49,23,51,52,15,56,47,30,44,42,46,61,33,44,68,43
2009-07,51,48,49,44,58,55,60,56,58,50,55,64,55,52,51,58,25,57,54,49,48,43,71,64,53,51,74,52
2009-08,35,49,51,46,57,48,47,59,55,53,53,66,57,61,56,62,29,55,55,52,61,52,57,62,56,58,66,54
2009-09,43,44,45,43,56,50,43,57,53,52,46,59,52,60,49,59,14,52,40,35,43,43,61,57,52,52,72,49
2009-10,46,45,48,48,49,45,29,52,47,32,46,50,42,63,47,62,13,49,38,28,36,32,56,41,43,54,67,45
2009-11,42,46,43,51,41,47,27,47,42,32,41,47,39,60,39,68,11,45,40,39,43,32,49,50,43,50,65,49
2009-12,47,45,47,56,52,49,34,44,46,27,45,45,44,51,36,61,13,48,48,21,35,32,53,54,42,49,66,50
2010-01,40,40,45,40,40,43,32,39,41,28,42,43,43,32,31,46,13,51,29,15,35,22,54,40,45,48,53,42
2010-02,55,46,36,58,60,59,52,50,35,29,56,59,54,48,47,53,16,58,44,14,36,34,59,65,40,52,67,49
2010-03,40,36,29,39,45,43,34,48,47,40,44,48,39,15,41,42,14,49,36,18,44,36,54,52,42,46,66,43
2010-04,41,33,29,32,54,28,44,45,49,35,32,49,37,37,44,52,14,41,51,23,30,27,53,57,47,34,69,38
2010-05,49,37,40,30,56,50,50,44,46,43,43,55,49,27,38,32,12,57,49,36,44,44,63,63,46,43,71,33
2010-06,57,53,42,42,65,61,54,56,51,50,60,66,51,29,46,41,35,56,60,47,62,51,64,62,48,56,73,57
2010-07,49,40,35,47,54,51,62,51,54,50,56,65,54,56,47,62,33,58,52,49,62,46,61,61,60,39,77,47
2010-08,48,44,42,47,58,52,47,59,55,52,49,65,55,54,51,55,23,58,52,56,57,49,53,65,59,50,61,50
2010-09,50,47,52,50,65,54,52,53,48,55,42,69,55,58,48,55,14,55,57,44,41,49,53,69,53,49,65,47
2010-10,56,56,45,58,55,56,37,50,47,53,57,53,47,77,49,68,14,55,53,42,47,47,45,56,53,54,65,55
2010-11,47,44,37,46,48,51,40,51,37,46,51,43,42,66,44,63,13,46,45,30,37,40,43,43,45,52,52,51
2010-12,31,33,42,38,40,40,27,30,37,30,35,34,40,18,35,13,14,39,34,18,33,30,31,38,47,34,51,32
2011-01,57,54,45,52,55,53,34,39,48,46,54,57,51,73,32,62,15,53,46,58,44,40,42,52,53,47,65,59
2011-02,43,43,44,36,57,46,41,38,42,46,43,46,46,42,40,32,14,50,47,26,42,34,40,52,39,40,63,41
2011-03,36,35,44,28,35,46,20,46,44,49,49,39,40,47,42,45,18,46,42,30,53,31,20,34,54,45,56,37
2011-04,33,18,36,18,42,20,22,43,37,45,22,42,34,21,41,15,14,38,39,20,39,29,24,45,21,16,56,20
2011-05,53,47,46,57,57,56,41,52,62,48,57,57,58,56,41,59,14,66,50,36,46,38,49,60,57,47,75,50
2011-06,52,49,35,51,62,55,45,54,57,47,58,67,54,57,46,60,27,66,50,25,55,49,62,69,44,48,72,54
2011-07,54,44,50,51,58,53,62,55,54,49,51,69,55,49,49,51,30,66,56,42,54,48,59,64,58,40,65,49
2011-08,53,39,53,45,57,45,49,53,52,44,42,62,51,53,48,41,37,55,44,44,55,47,47,56,51,44,68,45
2011-09,50,48,52,51,58,38,50,55,53,53,52,55,43,30,44,35,17,49,50,30,48,47,47,62,55,50,69,50
2011-10,47,51,46,51,55,57,40,56,51,58,59,40,50,61,48,53,17,54,53,43,47,45,47,62,46,58,71,53
2011-11,54,51,44,52,54,55,48,54,47,56,60,53,49,66,53,61,15,50,53,28,46,48,56,50,54,52,63,45
2011-12,52,55,46,54,55,47,36,49,46,51,55,50,40,67,48,65,15,48,52,13,46,43,43,56,52,51,64,49
2012-01,58,53,53,59,63,52,52,49,49,53,52,52,54,66,55,70,14,59,59,17,33,47,52,69,49,54,71,44
2012-02,51,51,50,63,62,58,45,45,48,48,64,63,57,60,50,57,20,59,59,20,45,44,55,66,56,57,71,42
