時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,30,28,26,29,28,28,28,30,29,28,28,28,29,30,28,28,15,29,28,29,30,28,7,28,29,28,31,30
2007-02,4,7,1,1,1,4,3,5,1,5,5,1,1,5,5,5,6,1,1,7,6,5,2,1,27,3,3,5
2007-03,28,23,15,28,28,28,17,20,27,15,28,26,28,28,21,28,21,28,4,21,4,23,17,28,19,24,21,30
2007-04,9,19,1,19,8,8,12,19,24,1,9,4,12,1,19,25,19,9,9,19,16,18,8,9,22,12,9,19
2007-05,2,8,29,10,4,6,10,10,5,10,6,17,4,10,10,10,8,6,4,2,7,7,17,4,3,8,8,8
2007-06,14,14,24,2,21,30,22,21,24,30,28,22,2,2,21,2,30,14,14,30,11,30,30,21,9,2,9,14
2007-07,20,21,16,27,31,21,30,28,14,4,13,26,27,21,7,21,2,17,27,22,13,13,13,31,26,19,22,22
2007-08,5,6,7,6,5,31,7,4,5,31,6,1,24,23,5,30,6,6,5,25,17,5,13,2,6,5,1,6
2007-09,14,16,10,25,17,14,13,15,18,29,16,11,26,14,15,14,26,10,15,15,30,16,14,19,13,14,17,14
2007-10,23,28,28,28,20,27,27,20,6,3,19,20,6,20,23,28,29,6,20,28,1,24,20,20,28,28,21,28
2007-11,12,30,30,12,29,30,28,16,30,14,29,30,29,12,30,17,15,30,12,15,21,30,3,30,30,30,30,12
2007-12,2,2,1,1,12,2,31,2,2,2,2,5,27,17,2,12,8,1,2,11,9,2,31,30,1,2,2,2
2008-01,11,20,3,9,1,2,1,5,2,6,1,2,1,20,2,9,4,3,12,10,6,11,1,1,3,1,3,20
2008-02,16,16,10,16,29,28,15,22,17,16,29,29,17,29,28,22,22,17,15,20,21,22,29,29,10,27,17,25
2008-03,23,27,30,25,3,23,1,3,27,3,27,1,26,25,4,27,28,23,23,4,4,3,11,3,3,28,3,27
2008-04,26,26,9,26,26,26,25,26,9,26,26,26,25,26,26,26,6,9,26,16,6,26,26,26,9,9,27,26
2008-05,12,12,13,3,20,20,16,19,13,14,20,20,20,12,14,12,14,20,20,14,14,12,20,20,13,3,15,12
2008-06,25,22,11,5,24,23,1,24,11,24,17,23,23,22,24,23,22,12,25,21,7,23,1,24,7,11,5,22
2008-07,18,24,2,15,14,4,27,4,27,16,26,19,14,25,15,24,14,27,29,3,24,24,4,29,14,21,26,24
2008-08,26,26,23,28,20,22,21,21,21,22,21,25,12,26,21,26,27,21,22,26,21,22,19,21,19,26,13,26
2008-09,8,7,10,21,4,17,30,7,13,6,16,2,14,21,24,21,9,14,1,27,23,22,16,4,8,16,12,7
2008-10,18,23,31,20,2,25,28,31,25,22,1,28,8,31,29,31,21,20,28,22,31,29,27,2,26,28,23,23
2008-11,29,29,30,29,27,29,29,14,30,29,28,28,30,15,14,28,14,30,28,28,15,29,27,27,12,28,30,29
2008-12,17,21,3,17,2,3,9,20,4,21,4,17,7,4,20,4,20,7,17,3,11,2,9,17,19,3,19,17
2009-01,18,18,12,18,10,13,14,13,2,18,10,15,11,18,18,18,17,15,18,14,17,18,10,14,2,9,14,18
2009-02,9,11,13,1,22,1,7,12,1,13,1,1,1,9,12,9,12,1,13,27,10,13,11,12,1,1,1,9
2009-03,17,17,22,15,17,10,31,16,15,17,25,18,15,25,17,20,18,17,25,17,17,17,14,17,17,22,22,18
2009-04,28,28,13,28,27,28,28,29,13,30,28,27,28,15,10,15,18,10,27,9,10,28,9,9,30,6,28,28
2009-05,7,7,30,8,31,31,6,11,30,31,30,7,30,14,11,31,9,30,31,17,9,7,30,31,30,8,8,7
2009-06,9,1,3,9,9,8,5,2,9,9,8,10,1,5,9,5,8,1,1,10,8,9,5,2,1,10,1,9
2009-07,9,31,23,31,29,4,13,10,24,9,19,22,6,1,9,31,30,31,9,2,17,9,7,4,9,1,29,31
2009-08,2,28,6,1,31,6,2,29,22,16,19,30,21,28,21,28,31,29,20,1,2,16,19,19,29,17,14,28
2009-09,26,24,26,20,8,11,26,14,8,3,7,19,20,8,22,7,26,4,27,26,28,26,19,20,21,11,20,24
2009-10,27,17,28,18,26,27,23,31,27,29,27,26,27,18,30,18,31,28,26,30,31,26,26,26,27,28,27,17
2009-11,2,2,3,2,2,2,2,2,3,27,2,2,2,8,27,10,30,3,2,3,1,2,2,4,3,2,3,2
2009-12,24,9,4,4,21,5,5,13,4,15,24,4,2,24,23,24,2,4,23,13,15,12,24,20,2,4,5,9
2010-01,13,15,14,15,13,15,13,10,19,13,13,13,13,14,10,15,17,15,13,9,30,13,13,13,13,15,14,19
2010-02,25,24,11,25,20,25,20,23,11,10,22,20,24,24,23,24,28,26,25,24,24,10,21,23,22,26,22,24
2010-03,29,29,2,29,28,29,28,31,26,4,29,26,26,19,29,18,29,29,26,22,6,26,10,28,27,29,26,29
2010-04,29,30,12,30,24,30,24,10,30,10,30,30,30,29,10,30,10,30,27,10,10,10,28,24,25,30,24,30
2010-05,31,25,22,25,31,31,25,2,22,9,31,12,1,25,2,25,26,2,26,20,20,22,8,31,26,26,1,25
2010-06,18,9,18,8,1,21,6,9,17,22,1,1,1,1,9,1,19,1,19,19,19,19,6,1,1,9,8,7
2010-07,6,3,6,18,15,29,24,16,4,20,29,19,16,3,16,15,1,18,18,8,15,18,14,18,14,3,15,3
2010-08,20,10,11,4,29,9,22,27,30,14,9,27,28,3,19,27,9,27,22,14,10,3,9,27,27,17,4,3
2010-09,19,22,29,28,3,18,19,3,19,21,17,25,18,4,15,22,18,29,21,18,20,21,5,4,22,21,18,22
2010-10,4,2,24,2,4,31,31,31,30,24,31,4,30,2,31,4,31,30,27,30,18,31,5,5,31,30,25,2
2010-11,12,11,1,10,8,10,8,30,1,28,10,10,1,11,2,26,1,1,12,11,12,28,25,9,1,26,2,11
