時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,26.3,26.7,27.7,25.5,21.9,25.6,22.4,29.5,27.0,26.6,26.5,23.1,26.3,21.0,26.7,22.3,12.5,27.7,25.4,15.8,24.1,27.1,18.7,22.7,28.6,25.2,24.3,26.3
2007-02,27.4,28.6,30.8,26.0,26.9,27.5,23.1,29.4,29.0,30.9,28.0,25.1,28.0,22.8,29.3,25.8,10.8,28.6,27.6,16.7,25.6,29.6,21.1,27.0,29.5,28.8,27.3,29.5
2007-03,28.7,32.3,34.4,28.0,28.1,29.4,24.9,30.4,37.4,31.1,30.5,27.8,29.0,27.7,30.4,28.8,13.9,31.5,28.7,19.1,28.0,31.1,27.0,28.2,30.5,29.6,27.9,33.0
2007-04,29.8,31.8,36.0,30.6,30.1,30.6,26.7,33.1,34.3,32.8,30.9,29.0,30.2,25.8,32.9,27.1,14.3,31.7,28.8,19.9,28.5,31.2,26.1,29.6,33.3,30.9,27.9,31.2
2007-05,34.8,37.2,37.4,33.5,32.8,31.8,31.3,33.4,35.2,34.8,33.0,31.0,32.3,28.7,34.3,30.5,15.9,33.1,32.3,20.0,29.7,34.4,30.0,32.7,33.3,37.3,30.5,36.6
2007-06,33.7,35.9,37.0,34.0,33.6,33.3,33.3,34.1,35.7,36.1,35.1,31.5,33.6,28.8,34.9,30.8,16.3,33.8,32.0,21.6,30.6,34.3,31.6,31.9,33.5,36.5,31.0,36.0
2007-07,35.9,38.6,37.2,34.9,34.3,36.3,33.4,35.2,36.3,36.1,36.5,33.6,34.8,30.9,35.7,33.4,18.2,35.5,33.1,22.0,31.3,35.6,34.3,33.8,35.1,37.4,32.0,37.5
2007-08,35.6,36.2,34.7,35.4,34.9,32.7,36.0,35.4,34.4,36.3,35.0,32.8,34.2,29.1,35.9,31.7,16.5,34.3,33.2,22.3,30.6,34.9,33.4,33.8,34.0,35.1,32.5,35.9
2007-09,34.7,34.3,32.7,33.4,32.5,30.9,33.5,33.7,35.4,34.2,32.9,31.0,32.7,27.9,34.1,29.8,18.4,32.0,34.7,20.9,31.5,34.1,31.0,31.4,32.7,32.4,30.4,34.0
2007-10,35.3,33.4,32.3,33.1,32.5,30.4,33.4,32.7,36.6,34.5,31.6,29.5,37.0,23.8,33.9,27.5,18.0,38.5,32.5,20.7,32.0,33.8,28.2,30.9,32.6,30.2,29.7,34.0
2007-11,28.6,28.5,29.7,28.7,26.4,26.3,27.1,30.6,29.7,29.3,27.0,24.9,28.3,20.3,29.7,24.4,18.1,27.8,27.2,19.2,26.3,29.9,22.0,26.4,30.6,26.1,26.5,29.5
2007-12,26.6,28.2,27.5,25.2,25.5,26.3,24.4,29.4,27.5,29.6,26.8,24.6,26.6,22.1,29.5,24.5,12.7,26.6,26.0,15.5,24.9,28.7,21.8,24.3,29.2,28.1,25.8,29.4
2008-01,28.5,28.8,28.9,25.1,27.8,27.5,26.2,28.9,28.0,31.3,27.1,25.0,26.4,24.1,30.2,25.6,17.9,27.6,28.7,17.6,26.4,30.7,21.1,26.7,28.6,27.5,25.7,29.1
2008-02,22.4,23.7,29.9,24.7,21.4,26.3,22.8,28.9,26.8,24.4,26.1,22.0,25.9,21.0,26.8,21.6,7.3,25.4,20.7,13.1,23.3,24.4,17.9,22.6,28.0,23.3,25.3,24.4
2008-03,26.2,29.0,32.7,27.1,28.5,27.8,25.6,31.0,29.9,30.6,28.3,24.4,27.4,23.9,30.7,26.8,12.1,27.9,26.7,18.0,27.2,29.9,24.4,27.8,30.6,28.4,27.0,29.5
2008-04,31.1,33.3,36.5,29.9,29.8,30.1,30.1,33.4,38.2,32.4,30.6,27.8,31.8,26.4,32.6,29.1,14.6,31.7,30.6,19.5,30.6,33.1,26.0,29.6,32.3,33.9,29.5,33.3
2008-05,34.0,35.3,35.9,32.5,31.6,31.7,30.9,33.0,33.6,33.8,32.9,31.1,32.9,27.3,33.1,29.7,16.1,32.7,32.7,18.9,29.0,33.5,32.7,30.7,33.1,35.3,29.5,34.8
2008-06,35.5,36.8,36.1,33.0,32.2,32.8,33.4,33.9,34.6,35.6,34.1,31.9,33.7,29.3,34.9,31.4,18.8,32.7,33.7,22.9,30.7,34.7,33.2,31.1,33.2,36.0,30.1,36.5
2008-07,34.1,37.3,36.7,35.2,33.7,33.4,36.1,35.0,36.3,34.5,37.1,32.1,34.0,29.6,34.3,32.4,18.4,34.9,32.7,21.9,31.5,34.8,33.6,31.8,33.3,36.4,30.8,37.6
2008-08,35.1,36.8,34.7,36.0,33.6,33.9,34.5,34.1,33.5,34.4,35.5,32.2,33.5,28.6,34.9,32.2,19.3,33.3,34.3,21.7,30.8,35.1,34.2,32.4,33.8,36.5,30.1,36.2
2008-09,35.1,35.0,33.8,34.6,33.1,32.1,35.0,33.8,37.8,34.5,34.1,30.4,33.3,27.9,36.1,30.9,17.0,36.1,33.2,22.3,32.2,35.4,32.2,32.6,33.1,33.6,29.8,35.0
2008-10,32.8,32.8,31.4,31.7,31.5,30.3,30.5,32.6,31.3,32.5,30.9,28.8,30.5,27.8,33.7,29.0,18.0,31.0,30.8,20.5,28.7,33.1,29.6,30.8,32.0,31.2,29.6,33.3
2008-11,31.1,33.2,31.4,32.6,29.8,31.0,28.7,32.5,31.2,31.8,31.1,28.0,30.8,26.9,34.2,29.5,17.1,30.8,29.2,18.7,28.6,32.6,27.3,29.0,31.5,31.1,29.8,33.4
2008-12,26.2,27.8,27.8,25.6,25.5,26.6,23.9,29.9,29.3,29.7,27.8,24.2,26.9,20.9,28.5,24.3,12.5,27.5,24.2,16.2,24.4,28.3,22.5,26.5,27.9,26.7,25.2,28.2
2009-01,23.6,25.0,30.5,24.2,23.6,25.6,21.6,27.5,27.9,26.3,26.1,23.2,25.7,20.2,26.6,21.5,13.6,26.6,22.6,13.6,22.8,26.4,18.5,24.0,26.9,23.4,25.4,25.3
2009-02,28.6,30.8,32.2,27.3,29.3,28.4,28.1,31.8,30.2,32.4,27.7,26.0,28.1,24.6,30.6,28.2,16.7,28.8,29.9,19.8,30.0,32.9,23.1,28.7,31.2,29.7,27.6,31.5
2009-03,30.2,31.9,34.1,29.6,27.8,29.2,26.1,30.2,30.9,30.1,29.2,25.0,29.8,23.5,31.0,25.5,16.1,29.4,28.2,20.9,29.0,29.7,26.4,27.6,31.1,31.2,27.3,31.4
2009-04,30.3,32.9,34.9,29.8,28.7,29.1,27.1,32.0,34.4,30.4,29.7,25.4,30.1,27.1,31.2,28.9,15.2,31.1,28.5,19.2,28.1,30.9,29.1,28.4,31.6,30.4,28.1,33.2
2009-05,33.8,34.5,33.3,33.1,33.3,30.7,30.6,33.5,31.8,33.8,32.3,30.0,32.5,27.3,33.8,30.4,16.2,31.2,31.4,21.6,30.3,33.5,31.1,31.5,33.4,32.7,29.0,34.4
2009-06,34.1,36.5,37.2,34.4,32.9,33.4,33.8,35.0,34.1,35.6,33.9,31.3,33.0,28.4,34.2,30.7,18.5,33.7,33.5,21.7,30.2,34.2,31.7,31.9,33.3,35.1,29.4,35.8
2009-07,35.7,37.2,35.2,37.2,33.6,32.8,33.9,34.6,34.0,35.0,34.4,32.7,33.9,29.1,34.6,31.5,19.7,33.8,33.1,23.4,30.5,35.3,32.9,32.7,34.3,35.9,31.6,36.7
2009-08,39.4,36.5,35.1,37.0,34.2,32.9,37.1,34.1,34.3,35.4,34.5,32.1,34.5,29.0,35.2,32.5,19.6,34.3,35.4,23.7,31.6,36.1,34.2,34.6,34.0,35.5,33.4,36.3
2009-09,37.2,36.1,35.0,34.9,33.8,33.1,36.7,34.7,34.1,35.0,34.4,31.6,33.7,28.3,35.4,31.1,20.4,33.8,34.3,22.5,31.4,35.2,32.2,33.4,33.5,33.6,30.5,36.0
