時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,15,16,16,15,3,16,1,16,3,15,16,16,23,16,17,16,14,23,3,2,14,3,1,3,21,16,12,16
2007-02,17,8,17,17,18,17,7,20,17,17,17,17,14,7,20,8,28,18,9,17,17,17,17,13,17,17,18,8
2007-03,27,30,31,31,31,31,28,31,27,26,30,30,30,30,4,30,30,30,31,30,30,30,30,29,30,30,30,30
2007-04,22,22,23,29,23,22,21,23,24,22,22,22,22,30,30,29,20,23,30,1,28,22,21,23,30,1,30,30
2007-05,25,24,25,25,27,16,29,28,16,25,28,28,28,25,27,24,30,25,25,16,24,25,28,30,15,25,30,25
2007-06,24,22,24,24,23,29,22,30,24,30,29,24,2,22,21,23,29,24,24,27,30,27,22,29,19,24,4,23
2007-07,20,21,19,20,5,21,2,28,17,4,13,29,17,21,28,22,14,17,27,22,24,5,13,29,26,27,21,22
2007-08,5,6,3,9,3,29,7,4,2,3,2,6,3,3,5,2,5,6,5,27,3,3,1,3,3,3,31,9
2007-09,29,14,17,27,1,14,27,20,18,30,16,1,17,3,20,1,16,28,30,29,30,30,2,23,13,2,2,27
2007-10,1,1,4,2,3,1,5,2,6,3,2,2,6,8,2,2,3,6,1,2,1,2,5,2,4,2,9,2
2007-11,15,17,1,17,16,16,15,1,1,25,16,15,16,16,4,17,15,16,25,17,25,1,16,16,1,17,1,17
2007-12,12,12,22,20,12,12,11,22,22,17,12,11,22,12,21,12,18,22,2,13,16,17,12,12,22,10,21,12
2008-01,11,11,12,9,11,11,12,12,12,11,12,11,12,11,12,11,4,12,12,11,12,11,11,12,12,12,29,11
2008-02,18,22,2,21,26,22,21,26,22,26,22,22,22,22,26,22,21,22,23,26,21,22,22,26,26,22,26,21
2008-03,12,27,30,12,18,29,12,18,18,18,18,28,29,27,18,27,16,30,18,18,18,18,29,18,18,28,30,27
2008-04,9,7,9,9,9,9,16,20,9,16,7,16,9,8,30,7,15,9,7,8,6,16,5,20,7,9,30,7
2008-05,28,30,30,30,28,30,30,10,30,28,29,28,29,9,4,28,15,25,28,9,18,28,22,26,27,30,26,30
2008-06,25,22,11,25,30,29,23,24,11,24,25,29,28,22,24,22,20,12,25,23,26,23,23,22,7,28,7,22
2008-07,26,24,2,15,14,4,27,5,27,16,26,25,14,24,5,24,2,26,16,27,24,27,25,4,4,21,26,24
2008-08,22,26,23,20,20,21,20,21,21,2,21,15,23,19,21,19,19,20,22,20,26,22,13,19,19,21,13,26
2008-09,26,19,17,18,17,1,22,7,13,24,16,7,14,21,24,19,20,14,23,22,23,22,16,6,18,25,18,18
2008-10,16,23,6,16,5,31,10,31,25,5,31,26,31,25,29,5,1,4,18,15,10,31,5,20,31,31,5,31
2008-11,2,5,7,2,7,7,5,3,6,6,7,2,6,6,5,2,2,5,2,7,5,4,7,6,5,5,3,2
2008-12,10,3,4,3,4,4,11,4,28,12,4,21,4,3,12,4,27,4,12,3,25,12,21,4,4,3,4,4
2009-01,19,18,22,28,21,21,6,21,6,21,29,29,29,29,21,29,31,30,18,31,20,21,18,22,20,18,30,18
2009-02,13,13,13,13,25,25,25,25,24,13,25,25,23,13,22,23,26,23,13,25,23,13,22,25,24,22,14,13
2009-03,22,22,22,22,22,22,20,5,22,22,22,22,22,13,28,13,19,20,22,19,5,5,22,22,18,22,21,22
2009-04,23,24,13,23,30,13,23,13,13,13,13,20,20,24,13,24,23,20,20,24,24,21,20,14,24,20,25,24
2009-05,25,23,23,31,21,23,30,21,22,21,21,21,21,21,22,21,10,19,22,21,22,21,21,22,16,17,26,23
2009-06,26,10,30,17,18,26,18,25,23,20,25,22,23,16,20,28,18,23,27,20,10,28,21,18,17,30,15,10
2009-07,31,22,26,31,12,27,17,11,31,21,25,25,12,30,31,16,9,9,19,9,17,9,29,29,29,22,29,11
2009-08,2,28,4,2,31,6,2,2,2,2,22,3,2,29,2,3,31,23,2,1,2,2,28,30,29,3,22,1
2009-09,22,12,15,21,19,14,12,14,1,3,7,12,2,18,3,12,25,2,14,12,13,3,7,7,4,12,14,12
2009-10,29,1,2,31,1,1,2,2,2,2,1,1,1,1,2,16,3,2,2,4,4,2,1,2,2,31,2,19
2009-11,8,6,13,5,9,8,1,1,1,1,8,8,1,9,1,6,7,1,8,3,6,1,7,9,1,9,13,6
2009-12,9,9,12,11,15,10,13,13,12,15,10,9,13,9,15,9,1,11,12,12,13,12,13,15,12,9,12,9
2010-01,21,20,31,21,21,31,21,31,31,31,20,30,31,20,21,20,21,31,21,20,21,29,31,21,25,19,31,20
2010-02,28,26,11,28,11,26,1,11,11,10,26,11,26,26,11,26,3,11,11,10,10,10,26,26,11,26,7,26
2010-03,23,23,2,23,23,15,23,14,6,4,20,23,23,19,6,23,30,23,23,23,24,15,23,24,14,22,24,23
2010-04,12,21,12,12,21,21,1,21,12,21,22,22,22,22,13,21,12,12,12,14,13,22,21,21,21,12,5,21
2010-05,26,19,22,22,21,22,23,27,22,22,19,22,22,18,10,17,19,22,22,22,20,22,23,10,27,19,16,22
2010-06,27,27,18,26,22,21,30,30,17,22,29,22,30,30,22,22,21,18,17,30,22,27,29,30,30,30,28,27
2010-07,3,3,11,23,20,11,21,15,7,20,14,3,2,3,14,3,11,2,6,20,21,18,20,18,20,3,15,3
2010-08,5,3,11,4,6,9,31,1,11,14,9,12,21,3,6,3,14,21,22,24,10,10,9,21,5,3,4,3
2010-09,8,10,5,2,6,7,16,3,19,11,10,11,7,4,22,4,5,6,8,5,8,8,6,8,11,21,11,22
2010-10,1,3,24,2,3,2,2,12,2,12,11,11,3,2,14,2,29,1,24,17,18,2,2,2,14,2,11,2
2010-11,12,11,7,11,2,21,14,22,7,21,22,12,21,29,22,29,7,14,12,6,7,8,11,12,7,21,22,12
2010-12,4,12,13,12,13,2,6,6,14,13,6,5,2,12,13,12,13,5,13,13,1,6,2,13,13,12,13,12
2011-01,5,14,28,18,5,14,14,19,27,5,14,14,14,14,27,18,27,23,5,27,27,27,9,5,28,14,23,18
2011-02,9,27,17,26,28,28,26,28,28,28,27,26,28,28,28,28,27,28,8,28,27,28,27,28,28,26,10,27
2011-03,20,20,1,20,21,21,21,20,1,20,21,21,20,20,20,20,2,1,20,20,20,20,14,21,21,14,21,20
2011-04,27,27,16,27,26,16,24,30,16,15,16,27,27,27,27,27,10,16,27,28,27,27,27,15,30,27,30,27
2011-05,11,11,6,26,12,11,9,8,8,12,11,11,12,11,9,9,8,12,11,6,8,12,21,12,13,11,7,11
2011-06,24,7,7,27,16,8,24,9,26,10,10,9,8,19,20,19,19,23,11,24,18,15,26,24,14,15,16,23
2011-07,27,24,3,28,26,4,28,27,26,28,9,21,31,24,29,24,6,22,29,28,24,28,30,31,31,8,5,24
2011-08,26,18,7,26,24,5,27,21,26,27,6,21,26,19,27,18,3,26,25,14,18,26,6,27,21,7,5,19
2011-09,11,29,1,15,29,1,27,29,12,10,16,17,14,29,30,29,17,30,4,27,27,4,16,10,13,29,29,29
2011-10,9,13,24,8,13,14,14,10,13,1,14,11,4,13,10,13,24,4,1,27,1,1,14,13,4,13,12,11
2011-11,2,5,19,4,4,5,4,19,18,4,5,5,6,5,5,5,6,19,6,6,5,4,6,4,6,5,18,5
2011-12,6,7,7,7,1,7,7,7,7,7,7,7,7,7,6,7,7,7,6,14,7,6,7,6,7,7,7,7
2012-01,19,18,15,18,19,16,8,19,15,15,16,14,8,14,15,18,10,28,19,15,28,18,18,19,28,18,21,18
2012-02,13,6,6,12,23,14,21,15,6,6,14,14,13,22,14,22,14,15,23,13,22,23,13,23,24,21,23,6
2012-03,17,23,18,23,17,23,23,23,7,5,4,17,18,23,23,17,17,7,23,18,23,23,30,23,23,30,7,17
2012-04,30,30,13,25,25,24,3,15,13,24,25,30,25,24,14,30,3,25,24,14,11,24,11,14,24,30,30,30
2012-05,1,1,15,15,15,15,15,31,1,15,15,14,15,15,14,26,25,15,9,29,9,15,14,15,14,1,9,1
2012-06,28,29,8,29,30,30,29,30,9,8,30,26,8,29,30,30,6,9,8,28,7,8,29,27,4,10,27,7
2012-07,20,10,15,25,4,6,21,23,16,21,8,15,15,10,5,16,7,20,20,9,9,23,5,19,19,13,19,10
2012-08,8,8,8,19,21,7,1,23,2,26,7,12,8,8,27,8,13,14,16,23,5,23,27,20,17,8,13,8
2012-09,21,10,16,5,13,6,5,14,13,6,11,13,13,6,22,9,12,7,8,28,21,27,4,8,15,6,9,8
2012-10,25,27,21,25,28,5,28,17,21,26,16,27,15,22,15,22,6,16,28,7,26,26,27,5,16,27,17,27
2012-11,10,10,26,10,10,9,3,11,26,10,4,10,10,10,11,10,16,26,10,10,14,10,10,10,10,10,29,10
2012-12,14,15,2,29,15,15,15,16,2,16,15,15,2,14,16,14,14,2,15,29,14,16,15,16,16,15,2,14
2013-01,21,31,22,21,31,31,31,21,22,22,31,31,22,21,31,21,20,22,21,7,7,22,21,31,13,31,13,21
2013-02,4,4,6,28,18,18,18,27,6,18,26,4,4,18,27,4,19,19,5,19,4,17,18,18,27,17,5,4
2013-03,22,18,24,22,10,18,23,23,18,23,24,22,24,10,28,10,9,24,1,23,23,23,18,20,23,18,29,13
2013-04,30,30,30,30,30,23,29,25,14,30,18,30,24,29,20,29,16,18,30,24,30,30,30,24,25,17,25,30
2013-05,28,30,29,28,31,28,31,30,27,31,29,29,28,29,31,30,25,27,27,24,31,31,29,31,30,28,30,28
2013-06,24,27,27,21,21,23,21,30,27,23,19,24,9,29,22,29,29,9,21,30,28,21,30,7,6,27,9,29
2013-07,14,30,5,17,30,4,1,1,13,1,7,24,12,30,1,30,28,13,2,12,23,5,31,29,4,30,4,30
2013-08,28,8,21,13,11,6,25,13,19,6,5,8,10,4,11,9,8,11,13,12,9,9,10,10,9,5,3,9
2013-09,9,14,15,13,14,13,20,16,18,19,15,11,11,13,9,13,30,11,18,19,20,20,13,12,19,13,11,11
2013-10,7,8,8,7,8,8,6,1,7,7,8,7,5,8,10,8,1,7,7,10,14,7,7,8,9,7,7,8
2013-11,1,9,11,9,1,10,9,3,1,1,10,10,10,10,1,10,8,1,1,8,10,1,10,11,1,2,6,9
2013-12,8,8,9,8,8,9,9,9,9,7,9,8,16,8,9,8,5,9,9,16,16,7,9,8,9,8,9,8
2014-01,25,30,3,31,3,30,3,3,3,3,25,31,30,2,3,30,31,31,3,2,30,3,30,25,3,25,3,30
2014-02,3,28,18,28,3,17,3,6,6,3,17,25,1,28,6,3,1,6,17,2,2,3,2,3,6,17,7,3
2014-03,29,28,29,27,29,29,26,27,29,29,29,29,27,28,26,28,19,29,29,19,26,29,26,31,28,28,27,28
2014-04,19,18,19,18,22,18,28,25,27,27,13,18,27,12,25,17,18,21,19,19,12,27,27,13,25,26,27,18
2014-05,14,14,18,14,25,26,29,24,14,12,26,25,27,26,24,24,26,14,12,16,31,12,28,31,24,14,29,14
2014-06,17,17,2,23,28,28,30,1,25,24,28,30,18,30,28,30,28,2,16,30,12,22,30,27,30,26,27,17
2014-07,21,13,9,18,21,31,22,5,9,12,30,13,21,6,9,6,11,8,22,18,1,17,31,18,4,9,8,6
2014-08,1,2,2,29,31,3,1,18,1,1,1,2,15,29,28,29,23,2,1,4,16,1,1,31,28,1,15,2
2014-09,19,16,22,20,6,16,19,15,13,15,16,13,14,17,15,16,18,6,15,1,15,15,13,8,6,16,7,17
2014-10,21,21,21,30,2,21,10,11,10,21,21,26,11,20,10,20,5,11,3,31,20,21,12,1,2,20,12,21
2014-11,1,29,30,1,30,1,1,2,2,30,1,1,1,29,2,29,1,2,1,1,27,30,1,23,1,29,30,1
2014-12,3,3,1,3,1,10,1,1,8,1,3,10,10,3,1,10,31,10,1,1,1,24,1,1,15,3,10,3
2015-01,6,24,6,6,5,6,6,5,6,5,6,6,6,6,5,6,18,6,6,5,6,6,21,6,6,6,26,24
2015-02,21,15,26,27,26,25,17,26,26,26,26,21,26,15,26,15,2,26,21,27,15,28,16,26,25,21,26,15
2015-03,31,31,31,31,16,31,14,27,31,19,31,31,31,20,30,19,20,9,19,19,19,19,31,31,31,19,31,19
2015-04,20,6,20,6,6,6,5,5,20,18,6,6,20,6,5,5,4,29,19,4,5,18,29,28,5,19,4,6
2015-05,28,30,3,29,19,28,31,10,30,18,29,29,31,30,10,30,15,31,2,14,16,9,3,9,10,30,7,30
2015-06,18,19,17,23,19,17,28,22,27,27,22,25,30,18,22,28,15,27,25,3,16,27,23,17,20,28,20,28
2015-07,21,2,1,6,3,3,10,5,11,1,14,27,2,21,5,6,4,2,21,21,2,21,12,3,4,2,4,2
2015-08,21,13,15,19,2,24,23,24,8,11,17,14,7,19,4,12,3,7,22,1,21,21,1,1,21,15,2,19
2015-09,30,6,24,6,4,5,28,3,28,25,2,6,6,6,26,6,12,28,6,23,16,15,3,24,15,6,5,6
2015-10,6,3,1,5,1,1,5,1,3,4,1,1,5,3,2,3,16,4,1,19,3,3,1,6,1,1,9,3
2015-11,17,17,17,6,8,18,6,9,17,18,7,18,6,5,18,17,7,18,18,18,18,17,18,17,18,18,18,6
2015-12,5,22,24,22,23,22,1,24,22,24,24,22,2,22,24,22,2,21,23,5,23,24,2,23,23,22,24,22
