時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,1018.3,1021.7,1019.2,1020.3,1020.1,1019.7,1020.3,1019.4,1019.7,1016.9,1021.6,1010.4,1020.0,927.2,1017.2,951.2,642.2,1016.5,1018.0,766.5,906.7,1010.4,1014.4,1015.2,1016.2,1018.7,982.0,1021.0
2007-02,1014.6,1017.5,1015.9,1016.2,1016.4,1015.5,1015.9,1016.4,1016.3,1013.7,1017.3,1006.3,1016.0,924.1,1014.2,947.9,640.9,1013.0,1014.6,765.3,904.6,1007.3,1009.4,1012.0,1013.5,1014.7,979.6,1016.8
2007-03,1012.1,1015.2,1013.9,1013.8,1014.2,1013.2,1013.5,1014.2,1014.1,1011.5,1015.0,1004.0,1013.9,922.3,1012.1,946.0,641.9,1010.8,1012.3,764.9,903.2,1005.1,1006.8,1009.8,1011.5,1012.3,977.8,1014.4
2007-04,1011.1,1014.0,1012.9,1012.7,1013.2,1012.2,1012.2,1013.3,1013.1,1010.5,1013.8,1003.0,1012.7,921.7,1011.1,945.4,642.4,1009.8,1011.3,764.9,902.7,1004.1,1005.7,1008.9,1010.6,1011.5,977.0,1013.3
2007-05,1006.3,1008.9,1009.0,1007.6,1009.0,1007.5,1006.7,1009.6,1009.1,1006.5,1009.1,998.3,1008.3,918.8,1007.4,942.0,643.2,1005.6,1007.1,764.1,900.5,1000.2,1000.1,1005.1,1007.1,1006.6,973.4,1008.2
2007-06,1003.6,1006.0,1006.3,1004.8,1006.4,1004.3,1003.2,1007.3,1006.2,1004.1,1005.9,995.5,1005.0,916.9,1005.1,939.9,643.1,1002.6,1004.6,763.5,899.0,998.0,996.7,1002.5,1004.8,1003.5,971.5,1005.3
2007-07,1003.6,1005.8,1006.2,1004.6,1006.7,1004.2,1003.2,1007.3,1006.1,1004.2,1006.0,995.1,1004.8,917.2,1005.1,940.3,644.7,1002.5,1004.7,764.2,899.5,998.1,996.0,1002.7,1004.7,1003.2,971.4,1005.1
2007-08,1001.0,1003.8,1004.0,1002.6,1003.4,1002.4,1000.9,1004.6,1004.1,1001.3,1004.4,993.7,1003.6,915.1,1002.3,938.3,641.6,1000.4,1001.8,761.3,896.5,995.2,995.1,999.6,1002.5,1001.4,969.0,1003.1
2007-09,1003.0,1006.3,1005.5,1004.9,1005.6,1004.5,1004.4,1005.9,1005.8,1002.9,1006.5,995.6,1005.5,916.7,1003.7,939.9,642.2,1002.4,1003.5,762.1,897.7,996.8,998.5,1001.5,1003.4,1003.7,970.3,1005.5
2007-10,1008.8,1012.6,1011.0,1011.3,1011.2,1010.5,1011.1,1011.2,1011.2,1008.6,1012.7,1002.0,1011.1,921.6,1009.0,944.8,643.9,1007.7,1008.7,764.7,901.5,1001.7,1005.3,1006.7,1008.6,1010.0,974.7,1011.9
2007-11,1012.7,1017.3,1013.9,1015.2,1014.2,1015.1,1015.2,1013.5,1014.5,1011.4,1017.2,1006.1,1015.2,924.2,1011.5,947.7,643.3,1011.6,1011.8,764.8,902.8,1004.5,1009.9,1009.2,1010.6,1014.2,976.4,1016.3
2007-12,1014.5,1018.3,1015.9,1016.4,1016.5,1015.9,1016.5,1016.1,1016.5,1014.0,1017.9,1006.8,1016.4,924.6,1014.0,948.3,642.1,1013.3,1014.4,765.4,904.6,1007.1,1010.2,1011.9,1013.1,1015.2,979.5,1017.2
2008-01,1016.2,1020.3,1017.2,1018.5,1017.8,1018.0,1018.3,1017.0,1017.9,1015.1,1019.9,1008.7,1018.2,925.7,1015.0,949.6,643.1,1014.9,1015.7,765.8,905.1,1008.2,1012.6,1012.8,1014.0,1017.3,980.2,1019.2
2008-02,1017.5,1021.3,1017.6,1019.6,1019.2,1018.4,1019.6,1018.0,1018.2,1016.2,1020.6,1009.2,1018.4,925.6,1016.2,950.1,639.2,1015.2,1016.9,764.2,904.8,1009.3,1014.0,1014.1,1014.8,1018.0,980.4,1020.1
2008-03,1012.7,1016.1,1014.7,1014.4,1014.6,1013.9,1014.0,1014.5,1015.0,1012.3,1015.8,1004.8,1014.8,922.7,1012.4,946.7,640.1,1011.9,1012.7,764.0,903.2,1005.4,1008.3,1010.5,1012.0,1013.1,978.2,1015.0
2008-04,1009.4,1012.5,1011.7,1011.0,1011.5,1010.6,1010.4,1011.7,1011.7,1009.6,1012.3,1001.5,1011.4,920.7,1009.6,944.4,642.8,1008.5,1009.7,764.8,902.0,1002.6,1004.2,1007.7,1009.2,1009.6,975.8,1012.2
2008-05,1004.9,1008.1,1007.2,1006.6,1007.4,1006.1,1005.7,1007.7,1007.3,1005.4,1007.8,997.2,1006.8,917.4,1005.5,940.8,641.5,1004.1,1005.3,762.4,898.7,998.5,999.1,1003.5,1005.2,1005.1,971.5,1007.9
2008-06,1004.4,1006.9,1007.1,1005.6,1007.0,1004.8,1004.2,1008.0,1006.9,1005.5,1006.5,996.0,1006.1,917.2,1005.8,940.7,643.2,1003.5,1005.1,763.7,899.4,998.6,996.8,1003.4,1005.7,1003.8,972.3,1006.7
2008-07,1002.0,1004.6,1004.9,1003.4,1005.1,1002.9,1002.3,1005.9,1004.6,1003.2,1004.7,994.2,1003.9,915.6,1003.7,938.8,642.6,1001.1,1002.7,762.4,897.6,996.2,995.2,1001.4,1003.6,1001.8,969.9,1004.5
2008-08,1003.5,1006.1,1006.6,1004.8,1006.5,1004.5,1003.9,1006.9,1006.5,1004.6,1006.3,995.5,1005.2,916.9,1004.8,940.4,643.6,1003.1,1004.3,763.4,898.7,997.7,996.9,1002.7,1004.6,1003.4,971.3,1006.0
2008-09,1002.9,1005.9,1005.5,1004.6,1006.2,1003.8,1004.8,1006.3,1005.0,1003.8,1005.7,995.3,1004.7,916.1,1004.2,939.8,642.3,1001.6,1003.3,762.3,897.4,996.3,998.4,1002.2,1003.8,1003.2,969.9,1005.7
2008-10,1010.7,1014.2,1013.5,1012.8,1012.9,1012.4,1012.2,1012.9,1013.4,1010.6,1014.1,1003.3,1013.6,923.1,1010.8,947.1,646.4,1010.2,1010.7,767.0,903.6,1003.4,1006.2,1008.9,1010.5,1011.4,977.3,1013.9
