時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,11,9,10,13,6,21,5,5,11,8,19,17,11,23,5,20,8,13,6,8,8,8,9,6,4,18,18,10
2007-02,7,9,6,12,4,14,4,3,7,3,12,11,9,12,3,8,4,5,5,4,4,6,10,2,5,10,13,10
2007-03,14,17,11,17,5,17,11,3,10,5,19,19,13,20,3,17,10,18,9,10,12,13,16,3,3,20,13,19
2007-04,15,17,5,17,12,18,13,3,11,11,17,15,15,20,6,18,17,14,12,16,18,15,15,10,4,18,11,19
2007-05,9,13,8,11,9,17,8,9,12,10,14,4,15,11,11,12,16,17,10,19,17,15,10,4,12,14,10,12
2007-06,17,19,17,18,13,19,19,18,18,14,20,15,16,19,15,19,26,14,13,26,28,17,14,12,20,19,15,22
2007-07,6,10,4,6,3,2,2,10,1,12,4,1,4,6,8,9,21,1,4,20,17,9,0,3,13,4,8,11
2007-08,16,23,24,19,13,17,14,20,20,24,18,14,18,22,22,20,26,19,16,28,27,20,17,15,21,18,24,25
2007-09,7,18,16,14,7,22,7,16,14,16,19,12,17,20,11,19,19,21,7,22,20,11,9,6,14,15,16,15
2007-10,6,13,15,13,2,25,2,5,13,6,21,14,16,25,6,24,10,16,5,11,7,5,4,3,9,21,22,10
2007-11,8,17,8,15,7,26,6,5,7,4,26,16,16,24,4,25,8,18,4,8,8,7,4,4,7,19,23,15
2007-12,3,4,9,7,1,21,4,0,6,0,15,13,7,21,2,18,3,10,2,2,2,2,4,0,1,19,18,6
2008-01,12,15,12,14,10,21,8,4,14,7,20,19,22,21,5,20,9,18,8,9,10,7,9,8,6,22,24,13
2008-02,17,22,14,23,8,22,9,4,11,5,20,21,23,28,4,26,12,19,7,12,17,11,9,5,4,25,24,23
2008-03,12,12,14,15,5,13,6,2,12,5,15,15,19,13,2,13,10,18,6,10,10,9,12,2,4,14,14,13
2008-04,14,15,9,16,6,18,10,8,12,9,19,18,17,18,5,15,16,13,9,18,17,10,16,6,4,15,12,18
2008-05,12,16,14,10,7,22,11,8,10,10,21,15,13,15,8,15,18,16,11,19,19,15,12,7,7,16,10,17
2008-06,13,20,15,16,14,18,17,16,12,14,17,18,13,18,15,19,19,13,10,18,20,19,14,16,18,15,16,18
2008-07,12,10,16,9,11,8,9,15,13,15,9,9,8,9,17,10,17,9,13,24,17,17,7,13,16,7,15,11
2008-08,5,8,13,1,7,6,5,16,14,12,6,2,9,4,10,7,13,11,8,17,12,11,7,7,12,6,15,5
2008-09,12,19,20,15,6,21,6,17,16,17,16,17,22,19,14,20,23,20,10,23,17,16,12,4,15,18,18,18
2008-10,2,9,10,6,2,24,1,1,11,3,20,12,22,19,1,20,13,14,2,10,8,2,6,2,9,17,18,5
2008-11,6,14,9,11,4,20,2,5,10,5,20,13,10,22,5,21,9,12,3,10,8,5,2,2,6,18,24,12
2008-12,5,8,7,8,2,19,3,0,9,4,11,10,7,14,2,14,7,11,3,7,5,4,4,2,4,14,16,8
2009-01,6,13,9,12,1,22,1,0,4,0,15,15,8,20,0,15,1,18,1,1,1,0,5,0,8,17,13,10
2009-02,8,8,15,10,3,18,6,1,12,1,11,13,11,15,1,15,2,13,2,3,1,1,6,1,6,17,11,6
2009-03,17,19,8,18,9,17,13,2,9,10,14,18,15,18,3,16,8,15,11,10,11,10,18,6,2,18,20,20
2009-04,14,14,15,16,11,20,10,6,12,9,11,13,15,18,5,15,15,14,10,17,15,13,16,7,8,15,17,15
2009-05,2,6,5,6,2,12,6,3,6,5,10,7,10,7,3,6,12,9,2,13,7,5,10,1,2,10,10,5
2009-06,8,14,12,14,9,12,13,14,12,12,14,10,9,16,12,13,15,9,11,20,17,14,15,5,19,15,16,18
2009-07,6,10,11,5,7,9,6,15,12,12,9,6,10,7,9,11,15,13,9,15,16,9,7,10,18,12,12,9
2009-08,9,13,12,10,9,12,9,14,8,18,11,13,10,13,11,14,15,11,12,21,17,14,11,9,16,12,16,14
2009-09,6,11,17,12,8,16,5,11,15,10,20,11,16,18,6,18,8,14,5,13,10,6,16,5,17,17,17,11
2009-10,7,15,11,12,3,24,2,3,10,3,21,13,15,23,2,21,7,9,3,8,4,3,4,3,8,19,13,16
2009-11,10,14,6,17,5,24,4,2,4,3,18,19,12,25,2,24,7,12,5,5,5,2,10,3,3,23,19,13
2009-12,10,15,2,13,9,19,11,1,8,7,14,12,12,17,3,16,8,6,8,8,7,9,7,3,2,18,22,16
2010-01,11,15,12,13,5,21,7,2,13,7,20,17,18,21,3,20,6,16,9,8,9,9,12,3,6,19,20,14
2010-02,15,13,9,15,7,19,14,3,9,11,15,17,15,16,6,14,6,11,12,9,13,11,18,5,1,18,10,14
2010-03,7,6,5,9,3,18,7,1,7,3,12,11,8,10,1,10,4,13,3,4,7,4,16,1,2,13,16,8
2010-04,18,18,12,19,6,21,19,7,12,11,19,19,17,20,8,19,17,15,13,16,18,16,16,8,4,19,15,21
2010-05,13,14,17,12,12,17,14,7,14,8,14,12,13,17,4,12,16,16,11,14,14,10,18,5,11,14,16,14
2010-06,15,23,13,22,11,20,16,11,11,14,20,19,16,21,12,22,20,16,17,19,21,17,18,5,13,21,11,23
2010-07,6,12,13,4,7,7,2,10,15,16,9,5,8,6,12,9,18,8,6,20,19,16,4,9,16,5,15,10
2010-08,9,13,14,12,4,14,3,17,10,21,11,11,11,12,17,12,17,12,9,22,20,20,3,9,21,12,21,13
2010-09,10,15,15,11,7,18,13,12,15,16,14,13,16,14,13,15,18,15,13,24,14,15,13,9,20,11,19,13
2010-10,11,19,21,17,5,25,7,9,17,3,22,19,15,21,4,20,19,24,4,13,5,3,8,3,17,21,21,17
2010-11,9,14,8,13,6,22,4,2,9,6,21,15,15,20,3,19,9,15,6,7,6,7,7,5,4,20,21,14
2010-12,6,6,3,6,2,11,3,1,6,3,10,8,9,8,1,9,4,13,2,4,5,3,6,1,2,8,15,8
2011-01,16,25,8,19,4,28,3,5,6,7,28,25,11,29,4,29,5,14,7,8,8,5,8,5,5,30,29,25
2011-02,9,14,7,13,5,13,4,2,6,5,15,15,11,19,4,15,6,13,7,8,6,8,10,5,4,18,15,13
2011-03,10,12,13,14,6,21,4,4,11,7,19,15,15,19,3,19,6,14,8,9,10,8,10,5,3,19,21,11
2011-04,8,7,7,9,3,13,6,3,13,3,7,6,11,8,3,6,4,16,3,7,5,5,5,2,1,11,10,8
2011-05,17,18,17,16,8,20,16,7,22,9,16,15,18,18,5,18,23,22,14,21,17,16,17,7,12,18,20,18
2011-06,10,13,14,10,8,10,9,9,13,12,11,8,8,12,9,11,15,12,8,18,16,11,12,7,12,11,14,14
2011-07,12,14,12,9,12,11,10,14,14,16,8,8,8,11,13,10,21,14,11,25,17,13,7,14,16,12,12,14
2011-08,11,17,8,10,5,8,6,10,9,11,6,5,7,11,10,14,20,10,8,21,15,12,9,7,14,12,13,15
2011-09,2,9,14,6,2,16,3,8,11,8,11,5,8,14,2,12,10,12,5,12,9,9,3,2,12,13,18,6
2011-10,9,13,15,14,2,25,3,7,15,5,23,15,15,24,7,24,15,13,6,14,10,5,10,3,9,21,22,13
2011-11,14,18,16,16,9,27,8,10,16,8,25,23,15,24,9,23,13,18,9,15,10,10,15,8,14,24,23,13
2011-12,14,20,15,22,5,29,1,6,14,8,23,20,17,27,3,26,10,21,5,16,10,7,7,3,8,27,29,19
2012-01,15,16,9,18,9,26,12,0,9,10,20,20,15,26,5,26,8,13,10,14,10,10,16,9,0,27,24,15
2012-02,17,15,16,19,10,26,13,7,13,10,20,21,14,24,7,22,13,18,9,13,11,10,19,9,11,24,25,18
2012-03,14,13,17,13,5,22,13,2,14,4,19,17,19,17,2,12,4,19,8,4,8,5,14,3,4,20,8,12
2012-04,19,23,18,20,16,19,16,10,16,13,18,21,18,22,9,21,18,18,17,17,22,17,18,11,8,23,12,19
2012-05,16,18,18,16,10,23,15,15,16,13,20,15,21,17,14,17,21,22,14,17,18,14,17,11,11,17,20,17
2012-06,16,16,23,15,12,22,13,19,21,17,16,13,19,17,17,16,22,21,17,24,22,18,14,15,22,22,23,13
2012-07,10,8,13,4,7,16,6,14,10,14,10,7,10,7,10,6,21,11,8,18,19,14,7,6,19,13,16,7
