時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2007-01,81.5,111.4,38.0,111.7,37.0,417.5,44.0,8.0,21.2,63.7,159.6,169.7,55.0,281.5,25.6,191.5,142.6,73.5,53.5,149.3,125.9,57.0,50.5,51.7,12.5,429.0,146.0,108.6
2007-02,64.8,70.5,37.6,64.4,29.4,80.6,22.5,7.5,16.0,17.5,53.0,109.1,9.0,133.0,17.5,106.0,78.0,25.3,21.0,49.5,30.0,24.5,57.7,25.0,38.0,110.9,49.5,70.4
2007-03,192.6,262.5,46.8,208.2,13.1,204.1,52.1,7.5,19.1,16.2,131.4,207.1,48.0,362.5,10.5,296.5,40.5,26.7,110.6,56.5,61.6,87.9,74.9,5.1,2.2,355.5,40.0,291.8
2007-04,225.2,198.0,18.6,221.3,71.1,149.6,159.7,24.0,39.4,86.4,124.5,149.6,74.6,351.0,36.0,240.7,198.1,39.7,116.6,241.5,195.6,136.4,161.1,52.5,2.7,204.0,58.1,213.6
2007-05,136.3,96.6,156.1,117.0,59.4,215.7,97.5,293.4,113.2,181.8,135.1,56.9,128.7,155.1,167.4,95.4,319.6,135.1,95.0,358.4,182.7,169.1,53.2,17.9,104.3,108.9,192.9,94.7
2007-06,488.9,709.9,213.9,759.5,96.7,416.6,373.3,276.8,123.2,306.6,356.6,511.3,163.5,837.5,333.2,812.1,527.0,165.1,683.0,633.8,720.8,735.2,193.3,146.9,215.0,661.6,158.6,779.0
2007-07,2.9,156.9,13.0,50.4,5.4,24.6,1.5,76.0,4.0,83.3,10.3,0.4,13.2,29.7,131.7,59.5,121.8,0.5,25.9,179.2,286.6,62.0,0.0,25.6,108.7,15.2,30.2,202.8
2007-08,187.8,576.2,1254.3,261.4,448.1,817.8,200.2,1229.3,618.9,828.2,519.4,181.2,928.5,511.7,1138.0,494.8,1227.3,635.6,704.8,1625.1,623.8,516.0,222.6,526.2,1170.2,295.8,823.3,438.6
2007-09,200.7,367.8,478.0,326.2,34.0,618.1,15.3,125.5,362.4,210.4,429.8,337.6,347.7,1111.1,135.0,955.1,500.8,529.9,164.0,539.4,276.0,315.7,22.2,46.0,198.7,386.3,327.5,350.9
2007-10,257.0,280.3,192.3,314.0,169.0,720.4,5.4,92.5,95.3,247.7,420.5,170.9,295.6,856.0,194.7,780.7,574.1,193.9,194.1,1157.6,286.9,289.8,157.2,155.4,46.4,377.6,279.4,246.8
2007-11,104.1,155.5,292.7,209.5,14.7,1434.9,16.3,53.5,300.0,22.1,711.7,156.9,425.0,1118.0,17.0,1159.4,102.7,448.0,17.5,47.4,30.5,22.6,48.5,13.5,240.8,946.2,614.0,181.2
2007-12,22.1,30.3,14.1,29.0,1.5,366.4,6.3,0.0,19.6,T,63.2,24.3,36.7,142.0,0.7,96.0,14.5,29.2,17.7,5.1,2.0,16.7,47.5,0.0,0.3,172.7,109.5,40.3
2008-01,72.7,85.8,34.7,107.5,22.8,457.0,29.5,14.8,32.8,31.2,125.0,128.0,69.5,352.0,32.7,313.0,161.7,43.8,7.7,103.2,72.7,15.2,74.4,24.4,4.5,474.2,243.4,81.0
2008-02,97.4,163.7,39.6,215.7,17.5,378.4,35.2,16.1,47.1,18.4,214.8,190.2,144.0,532.5,9.5,429.7,104.2,143.0,40.8,90.2,57.7,38.4,39.3,11.6,7.3,466.1,194.4,172.5
2008-03,186.9,127.9,32.7,78.8,26.4,214.7,20.2,15.1,22.3,12.7,142.3,114.5,116.4,158.5,25.5,113.0,70.8,72.6,32.7,64.8,42.5,34.1,64.0,3.5,57.9,150.5,161.6,144.0
2008-04,188.9,153.0,53.3,218.7,73.3,180.1,68.1,32.5,109.8,25.9,116.8,140.8,83.5,249.0,13.7,214.6,127.4,238.5,26.4,135.3,191.0,31.2,95.5,69.6,8.3,215.2,151.4,134.2
2008-05,210.6,319.1,74.6,221.2,63.5,100.1,63.3,106.5,55.0,67.6,135.2,159.4,72.1,308.0,41.5,281.2,273.8,136.4,229.6,377.8,409.0,332.0,136.8,31.2,31.5,340.5,150.9,299.6
2008-06,224.8,361.2,508.7,231.0,228.6,348.4,231.2,1199.7,327.2,288.2,172.8,88.6,170.4,216.5,782.2,206.8,408.5,244.1,174.3,496.4,439.8,182.8,126.9,370.9,653.0,145.8,502.7,329.2
